ID,concept_ID_parent,concept_name,concept_name_short,concept_description
318,315,Semi-urban,FacLocUrbsem,Semi-urban
319,271,Malawi (national),FacGeo,Geographical location national level Malawi
321,319,Northern Region,FacGeoRegN,Northern Region
322,319,Central Region,FacGeoRegC,Central Region
323,319,Southern Region,FacGeoRegS,Southern Region
324,321,Northern Zone,FacGeoZonN,North Zone
325,324,Chitipa,FacGeoCp,Chitipa District
326,322,Central East Zone,FacGeoZonCe,Central East Zone
327,322,Central West Zone,FacGeoZonCw,Central West Zone
328,323,South West Zone,FacGeoZonSw,South West Zone
329,323,South East Zone,FacGeoZonSe,South East Zone
330,324,Karonga,FacGeoKa,Karonga District
331,324,Nkhata Bay,FacGeoNb,Nkhata Bay District
332,324,Rumphi,FacGeoRu,Rumphi District
333,324,Mzimba North,FacGeoMzn,Mzimba North District
334,324,Mzimba South,FacGeoMzs,Mzimba South District
335,326,Nkhotakota,FacGeoKk,Nkhotakota District
336,326,Kasungu,FacGeoKu,Kasungu District
337,326,Ntchisi,FacGeoNs,Ntchisi District
338,326,Dowa,FacGeoDa,Dowa District
339,326,Salima,FacGeoSa,Salima District
340,328,Chiradzulu,FacGeoCz,Chiradzulu District
341,328,Blantyre,FacGeoBt,Blantyre District
342,328,Mwanza,FacGeoMn,Mwanza District
343,328,Thyolo,FacGeoTo,Thyolo District
344,328,Chikwawa,FacGeoCk,Chikwawa District
345,328,Nsanje,FacGeoNe,Nsanje District
346,328,Neno,FacGeoNen,Neno District
347,327,Lilongwe,FacGeoLl,Lilongwe District
348,327,Mchinji,FacGeoMc,Mchinji District
349,327,Dedza,FacGeoDz,Dedza District
350,327,Ntcheu,FacGeoNu,Ntcheu District
351,329,Mangochi,FacGeoMh,Mangochi District
352,329,Machinga,FacGeoMhg,Machinga District
353,329,Zomba,FacGeoZa,Zomba District
354,324,Likoma,FacGeoLa,Likoma District
355,329,Mulanje,FacGeoMj,Mulanje District
356,329,Phalombe,FacGeoPe,Phalombe District
357,329,Balaka,FacGeoBlk,Balaka District
358,2,Form control types,FrmCtl,Types of controls on the data entry forms
359,358,Text box,FrmCtlTxt,Text box for integers
360,358,YesNoBlank,FrmCtlYNB,Combo box with 3 options (Yes  No  Blank)
361,358,Percent,FrmCtlPerc,Text box for percent values
362,33,Family planning,SplyFp,Family planning commodities
363,362,Depo-Provera,SplyFpDepo,Depot medroxyprogesterone acetate for injection
364,362,Condoms male,SplyFpCondM,Male condoms
365,362,Condoms female,SplyFpCondF,Female condoms
366,209,topical solution,SplyAttPresSolu,Cream or solution for topical application
367,205,tests,SplyAttUnitTest,Test strips (rapid diagnostic tests)
368,205,sheets,SplyAttUnitSheet,Sheets of card or polythene sleeve
369,209,pieces,SplyAttPresPiec,Pieces  e.g. condoms
370,271,Sector,FacSect,Public or private sector
371,370,Public,FacSectPub,Public sector facility
372,370,Private,FacSectPriv,Private sector facility
373,1551,Isoniazid (H),SplyTbDrH,"Isoniazid
H for isoniazid"
374,34,3TC,SplyArvReg10_2,Lamivudine
379,736,Total lymphocytes <threshold,ARTRsnTlc,Children and adults in WHO stage 1/2 with total lymphocyte count below age-specific threshold
972,998,Final result given to client,HTCOutc,
973,1362,New exposed infants,HTCOutcExp,Counseled as exposed infant (HIV antibody positive and age <12m)
975,1362,New negative,HTCOutcNeg,Counseled as HIV negative.
976,1362,New inconclusive,HTCOutcInc,Counselled as inconclusive HIV status. From version 3 of HTC register  this implies last negative or never tested and first and second pass of testing in this session gave discordant results.
977,168,HTC Program report,HTCProgRep,
978,998,Total HTC clients served,HTCClient,
979,168,HTC report check sums,HTCChk,Check sum for the subgroups on the HTC report (2007 register)
980,979,CHECK: Total tested (sex sum),HTCChkTotSex,Check sum field on data entry form for sum of subgroups
981,504,HTCSex,ChkHTCSex,
982,504,HTCAge,ChkHTCAge,
983,504,HTCTest,ChkHTCTest,
984,504,HTCRes,ChkHTCRes,
985,485,HTC facility report ver2,DatsetHtc2,HTC report from version 2 HTC register (2007 version). Referred for services omitted.
986,979,CHECK: Total tested (age sum),HTCChkTotAge,
987,979,CHECK: Total tested (test sum),HTCChkTotTest,
988,979,CHECK: Total tested (result sum),HTCChkTotRes,
989,195,HTC at  health facility - 1st month,Ver8Pg37,
990,195,HTC at health facility - 2nd month,Ver8Pg38,
991,195,HTC at health facility - 3rd month,Ver8Pg39,
992,195,HTC in community - 1st month,Ver8Pg40,
993,195,HTC in community - 2nd month,Ver8Pg41,
994,195,HTC in community - 3rd month,Ver8Pg42,
995,504,MatVitA,ChkMatVitA,
996,504,MatTEO,ChkMatTEO,
997,694,HTC site report,RepProgHTC,HTC site monthly report (collected during supervision)  separate sub-groups for testing done at the site vs. mobile testing outside of the facility
998,977,HTC client details,HTCClientDet,
999,129,Wall chart job aids (set),SplyWallchart,Wall charts printed by Diginitas (enlarged from guidelines). Set of 4 charts.
1000,35,Albendazole,SplyOiAlben,Albendazole
1001,814,Total ART clinic registrations,ARTProgSurvReg,Calculated data element (reference to main data element in ART cohort analysis)
1002,1001,Transfers out (double counted),ARTProgSurvTO,Calculated data element (reference to primary data element in ART cohort analysis set)
1003,1001,Total not transferred out (patients in cohort),ARTProgSurvToN,Calculated data element (total registrations - transfers out)
1004,33,Reason for relocation / disposal,SplyReloRsn,Reason for registered relocation or disposal of HIV commodities (used on relocation form)
1005,1004,Stock count error (supervision form),SplyReloRsnSOH,Error or missing data on the stock position from the site that was used to make the last allocation
1006,1004,Patient count error (supervision form),SplyReloRsnPat,Error in patient number used for previous allocation of commodities
1543,1507,Clinician,Clinician,Clinicians at facilities across the country
1544,1507,Nurse,Nurse,Nurses at facilities across the country
1545,1543,Clinicians(MA/CO/MO) at the facilty,ClinFac,Number of clinicians(MA/CO/MO) at the facility
1546,1543,Clinicians trained in STI,CliTrSTI,Number of clinicians trained in STI
1547,1543,Clinicians trained in STI that are practicing,CliTrPrSTI,Number of Clinicians trained in STI that are practicing at facility
1548,1544,Nurses at the facility,NursFac,Number of nurses at the facility
1549,1544,Nurses trained in STI,NursTrSTI,Number of nurses trained in STI at facility
1550,1544,Nurses trained in STI that are practicing,NursTrPra,Number of nurses trained in STI that are practicing
1551,33,TB drugs,SplyTbDr,Anti-TB drugs. Added April 2015 to accommodate TB inventory items in the joint stock report form for supervision
1552,1551,RHZE,SplyTbDrRhze,"R for rifampicin
H for isoniazid
Z for pyrazinamide
E for ethambutol
Fixed dose combination of rifampicin/isoniazid/pyrazinamide/ethambutol in tablet"
1553,1551,RHZ,SplyTbDrRhz,"Fixed-dose combination of rifampicin/isoniazid/pyrazinamide in tablet
R for rifampicin
H for isoniazid
Z for pyrazinamide"
1554,1551,RH,SplyTbDrRh,"Fixed-dose combination rifampicin/isoniazid tablets
R for rifampicin
H for isoniazid"
1555,1551,E thambutol (E),SplyTbDrE,"Single drug formulation ethambutol in tablets
E for ethambutol"
1556,1551,Streptomycin,SplyTbDrS,Streptomycin sulfate solution for injection
1557,1551,RHE,SplyTbDrRhe,"Fixed-dose combination of rifampicin / isoniazid / ethambutol in tablets
R for rifampicin
H for isoniazid
E for ethambutol"
