name,description
ANC HIV STATUS 1ST VISIT PREV VE,NULL
ANC HIV STATUS 1ST VISIT PREV +VE,NULL
ANC HIV TEST RESULT NEW VE,NULL
ANC HIV TEST RESULT NEW +VE,NULL
ANC HIV TEST RESULT NOT DONE,NULL
ANC HIV TEST RESULT PREV VE,NULL
ANC HIV TEST RESULT PREV +VE,NULL
ANC NEW WOMEN REGISTERED,NULL
ANC NOT ON ART,NULL
ANC ON ART BEFORE ANC,NULL
ANC PRE ECLAMSIA YES,NULL
ANC RECEIVED 2+ TTV DOSES,NULL
ANC RECEIVED FEFO 120+ TABS,NULL
ANC RECIEVED 0 SP DOSES,NULL
ANC RECIEVED 1X3 SP TABS,NULL
ANC RECIEVED 2X3 SP TABS,NULL
ANC RECIEVED ALBENDAZOLE 1 DOSE,NULL
ANC RECIEVED ITN,NULL
ANC RECIEVED NVP,NULL
ANC STARTED 1 VISITS IN WK 0 12,NULL
ANC SYPHILIS STATUS UNKNOWN,NULL
ANC SYPHILIS STATUS VE,NULL
ANC SYPHILIS STATUS +VE,NULL
ANC TOTAL WITH 1 VISIT,NULL
ANC TOTAL WITH 2 VISITS,NULL
ANC TOTAL WITH 3 VISITS,NULL
ANC TOTAL WITH 4 VISITS,NULL
ANC TOTAL WITH 5+ VISITS,NULL
ANC TOT STARTED ART 28+ WKS,NULL
ANC TOTSTARTED ART AT 0 27 WKS,NULL
ANC WOMEN ON CPT,NULL
A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION ANC PMTC,NULL
A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION OPD,NULL
A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION OTHER,NULL
A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION PRE ART ART,NULL
A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION TB,NULL
ART ADHERENCE 0 – 6 DOSES MISSED,NULL
ART ADHERENCE 7+ DOSES MISSED,NULL
ART ADHERENCE UNKNOWN,NULL
ART ADULTS 15 YEARS OR OLDER AT ART INITIATION,NULL
ART ADULTS 15 YEARS OR OLDER AT ENROLMENT,NULL
ART ANC,NULL
ART ARV SUPPLY HUB SITE,NULL
ART BLOOD COLLECTION,NULL
ART BREASTFEEDING MOTHERS,NULL
ART CD4 BELOW THRESHOLD,NULL
"ART CD4 COUNT  ON SITE ",NULL
ART CHILDREN 12 23 MONTHS,NULL
ART CHILDREN 24 M 14 YRS AT ART INITIATION,NULL
ART CHILDREN 24 MONTHS 14 YRS AT ENROLM,NULL
ART CHILDREN 2 BELOW 24 MONTHS AT ENROLM,NULL
ART CHILDREN BELOW 24 M AT ART INITIATION,NULL
ART COHORT 108 MONTH SURVIVAL ALL AGES,NULL
ART COHORT 120 MONTH SURVIVAL ALL AGES,NULL
ART COHORT 12 MONTH SURVIVAL ALL AGES,NULL
ART COHORT 12 MONTH SURVIVAL CHILDREN,NULL
ART COHORT 12 MONTH SURVIVAL OPTIONB+,NULL
ART COHORT 24 MONTH SURVIVAL ALL AGES,NULL
ART COHORT 24 MONTH SURVIVAL OPTIONB+,NULL
ART COHORT 36 MONTH SURVIVAL ALL AGES,NULL
ART COHORT 48 MONTH SURVIVAL ALL AGES,NULL
ART COHORT 60 MONTH SURVIVAL ALL AGES,NULL
ART COHORT 6 MONTH SURVIVAL OPTIONB+,NULL
ART COHORT 72 MONTH SURVIVAL ALL AGES,NULL
ART COHORT 84 MONTH SURVIVAL ALL AGES,NULL
ART COHORT 96 MONTH SURVIVAL ALL AGES,NULL
ART CONFIRMED INFECTED PATIENTS,NULL
ART CURRENT EPISODE OF TB,NULL
ART DEFAULTED,NULL
"ART DEFAULTED  PRE ART ",NULL
ART DIED AFTER THE END OF THE 3RD MONTH AFTER ART INITIATION,NULL
"ART DIED  PRE ART ",NULL
ART DIED TOTAL,NULL
ART DIED WITHIN THE 1ST MONTH AFTER ART INITIATION,NULL
ART DIED WITHIN THE 2ND MONTH AFTER ART INITIATION,NULL
ART DIED WITHIN THE 3RD MONTH AFTER ART INITIATION,NULL
ART END TIME,NULL
ART EXPOSED INFANTS,NULL
ART FIRST ART PATIENT REG,NULL
ART FP,NULL
"ART HCC MALES  ALL AGES ",NULL
ART HCC NON PREGNANT FEMALES,NULL
ART HCC PREGNANT FEMALES,NULL
ART HCC TOTAL REGISTERED,NULL
ART HIV EXP CHILD FUP,NULL
ART INFANTS <12 MTHS PCR+,NULL
ART INFANTS BELOW 2 MONTHS AT ENROLMENT,NULL
ART KS KAPOSI’S SARCOMA,NULL
ART MALES,NULL
ART MATERNITY,NULL
ART NEVER TB OR TB OVER 2 YEARS AGO,NULL
ART NEW ACTION POINTS FOR CLINIC TEAM,NULL
ART NEW ACTION POINTS FOR SUPERVISION TEAM,NULL
ART NON PREGNANT FEMALES,NULL
ART PATIENTS ALIVE ON ART CURRENTLY ON CPT,NULL
ART PATIENTS ENROLLED FIRST TIME,NULL
ART PATIENTS INITIATED ON ART FIRST TIME,NULL
ART PATIENTS RE ENROLLED,NULL
ART PATIENTS RE INITIATED ON ART,NULL
ART PATIENTS RETAINED IN PRE ART CURRENTLY ON CPT,NULL
ART PATIENTS RETAINED IN PRE ART CURRENTLY ON IPT,NULL
ART PATIENTS TRANSFERRED IN,NULL
ART PATIENTS TRANSFERRED IN ON ART,NULL
ART PREGNANT FEMALES,NULL
ART PREGNANT WOMEN,NULL
ART PRES SEV HIV DISEASE AGE <12 M,NULL
"ART REGIMENS OTHER  PAED ADULT ",NULL
ART REGIMENS REGIMEN 1A,NULL
ART REGIMENS REGIMEN 1P,NULL
ART REGIMENS REGIMEN 2A,NULL
ART REGIMENS REGIMEN 2P,NULL
ART REGIMENS REGIMEN 3A,NULL
ART REGIMENS REGIMEN 3P,NULL
ART REGIMENS REGIMEN 4A,NULL
ART REGIMENS REGIMEN 4P,NULL
ART REGIMENS REGIMEN 5A,NULL
ART REGIMENS REGIMEN 6A,NULL
ART REGIMENS REGIMEN 7A,NULL
ART REGIMENS REGIMEN 8A,NULL
ART REGIMENS REGIMEN 9P,NULL
ART SIDE EFFECTS ANY SIDE EFFECTS,NULL
ART SIDE EFFECTS NONE,NULL
ART SIDE EFFECTS UNKNOWN,NULL
ART STARTED ART,NULL
ART START TIME,NULL
ART STI TREAT,NULL
ART STOPPED TAKING ARVS,NULL
"ART TB REG INITIATION ",NULL
ART TB STATUS CONF NOT ON RX,NULL
ART TB STATUS CONF ON TB RX,NULL
ART TB STATUS NOT SUSPECTED,NULL
ART TB STATUS SUSPECTED,NULL
ART TB STATUS UNKNOWN,NULL
ART TB WITHIN THE LAST 2 YEARS,NULL
ART TLC <1200 MM3,NULL
ART TOTAL ALIVE AND ON ART,NULL
ART TOTAL PERSONS GIVEN PEP IN LAST QUARTER,NULL
ART TOTAL REGISTERED,NULL
ART TOTAL RETAINED ALIVE IN PRE ART FOLLOW UP,NULL
ART TRANSFERRED OUT,NULL
"ART TRANSFERRED OUT  PRE ART ",NULL
ART TRANSFUSION,NULL
ART UNKNOWN REASON OUTSIDE GUIDELINES,NULL
ART VISIT DATE,NULL
ART WHO STAGE 3,NULL
ART WHO STAGE 4,NULL
ART WOMEN RECEIVED DEPO AT ART IN THE LAST QUARTER,NULL
ART WOMEN RECEIVED DEPO AT PRE ART IN THE LAST QUARTER,NULL
ASTHMA ADMISSION,NULL
ASTHMA INPATIENT DEATH,NULL
ASTHMA NEW,NULL
BILHARZIA ADMISSION,NULL
BILHARZIA INPATIENT DEATH,NULL
B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION ANC PMTC,NULL
B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION OPD,NULL
B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION OTHER,NULL
B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION PRE ART ART,NULL
B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION TB,NULL
CANCER DISTRICT HOSPITAL,NULL
CANCER FLIPCHART,NULL
CANCER HEALTH CENTRE,NULL
CANCER LEAFLETS,NULL
CANCER NONE,NULL
CANCER # OF COMMUNITY MEETINGS COMMEMORATION DAYS,NULL
CANCER # OF FILM SHOWS,NULL
CANCER # OF INTERACTIVE DRAMA SESSIONS,NULL
CANCER # OF ROAD SHOWS,NULL
CANCER OTHER,NULL
CANCER POSTERS,NULL
CANCER RURAL COMM HOSP,NULL
CANCER TOTAL# PROVIDED IN THIS QUARTER,NULL
CANCER TV DVDS,NULL
CATARACT ADMISSION,NULL
CATARACT INPATIENT DEATH,NULL
CATARACT NEW,NULL
CBD CLIENT AGE<18,NULL
CBD CLIENT AGE 19 25,NULL
CBD CLIENT AGE 26 35,NULL
CBD CLIENT AGE 36 49,NULL
CBD CLIENTS CHANGING METHODS,NULL
CBD CONTINUING CLIENTS,NULL
CBD DEPO,NULL
CBD HEALTH EDUCATION MESSAGES F,NULL
CBD HEALTH EDUCATION MESSAGES M,NULL
CBD IMPLANTS,NULL
CBD IMPLANTS IMPLANON,NULL
CBD IMPLANTS JADELLE,NULL
CBD LOOP,NULL
CBD LOSSES ADJUSTMENT VE,NULL
CBD LOSSES ADJUSTMENT +VE,NULL
CBD NEW CLIENTS,NULL
CBD NEW QUANTITY ON HAND,NULL
CBD PHYSICAL EXAMINATIONS,NULL
CBD QUANTITY DISPENSED,NULL
CBD QUANTITY ISSUED,NULL
CBD QUANTITY ON HAND,NULL
CBD RETURNING CLIENTS,NULL
CBD SIDE EFFECTS,NULL
CBD TUBAL LIGATION,NULL
CBMNC # OF 1ST HOME VISITS TO MOTHER NEWBORNS WITHIN 3 DAYS OF DELIVERY,CBMNC # of 1st home visits to mother/newborns within 3 days of delivery
CBMNC # OF 1ST HOME VISITS TO PREGNANT WOMEN CONDUCTED THIS MONTH,CBMNC # of 1st home visits to pregnant women conducted this month
CBMNC # OF HOME VISITS TO MOTHERS NEWBORNS WITHIN 1 WEEK OF DELIVERY,CBMNC # of home visits to mother/newborns within first week of delivery
CBMNC # OF NEWBORNS WITH 1 OR MORE DANGER SIGNS REFERRED TO HEALTH FACILITY,CBMNC # of newborns with 1 or more danger signs referred to health facility
CBMNC # OF PREGNANT WOMEN WITH 1 OR MORE DANGER SIGNS REFERRED TO HEALTH FACILITY,CBMNC # of pregnant women with 1 or more danger signs referred to health facility
CBMNC # OF REPORTING HEALTH CENTRES,CBMNC Number of reporting health centers in the district
CBMNC # OF SECOND HOME VISITS TO PREGNANT WOMEN CONDUCTED THIS MONTH,Number of second home visits to pregnant women conducted this month
CBMNC # OF WOMEN WITH ONE OR MORE DANGER SIGN REFERRED TO HEALTH FACILITY AFTER DELIVERY,CBMNC # of women with one or more danger sign referred to health facility after delivery
CBMNH HF CATCHMENT POPULATION,NULL
CBMNH # HSAS REPORTING THIS MONTH,NULL
CBMNH # HSAS TRAINED IN CBMNC,NULL
CBMNH # OF BABIES IDENTIFIED AS LBW  <2500G  BY HSA WITHIN 8 DAYS OF DELIVERY,NULL
CBMNH # OF BIRTHS  HOME OR FACILITY  REGISTERED BY HSAS THIS MONTH,NULL
CBMNH # OF COMPLETED PREGNANCIES THIS MONTH,NULL
CBMNH # OF EARLY NEONATAL DEATHS  0 7 DAYS AFTER BIRTH  OCCURRED IN THE COMMUNITY,NULL
CBMNH # OF ELIGIBLE LBW  BETWEEN 2000G AND 2500G  INITIATING COMMUNITY KMC,NULL
CBMNH # OF HOME DELIVERIES REGISTERED BY HSAS THIS MONTH,NULL
CBMNH # OF LBW NEWBORNS WHO ARE REFERRED FOR EXTRA CARE,NULL
CBMNH # OF LIVE BIRTHS DELIVERED AT HOME REGISTERED BY HSAS THIS MONTH,NULL
CBMNH # OF LIVE BIRTHS  HOME OR FACILITY  REGISTERED BY HSAS THIS MONTH,NULL
CBMNH # OF NEWBORNS BORN AT HOME WHO RECEIVE A HOME VISIT BY AN HSA WITHIN 24 HOURS OF DELIVERY,NULL
CBMNH # OF NEWBORNS WHO RECEIVE AT LEAST 1 HOME VISIT FROM AN HSA WITHIN 3 DAYS OF DELIVERY,NULL
CBMNH # OF NEWBORNS WHO RECEIVE AT LEAST 2 HOME VISITS FROM AN HSA WITHIN 8 DAYS OF DELIVERY,NULL
CBMNH # OF NEWBORNS WITH AT LEAST ONE DANGER SIGN REFERRED BY AN HSA TO A HEALTH FACILITY,NULL
CBMNH # OF NEW PREGNANCIES REGISTERED THIS MONTH,NULL
CBMNH # OF PREGNANT WOMEN WHO HAVE A COMPLETE BIRTH PLAN BY THE END OF THIRD TRIMESTER,NULL
CBMNH # OF PREGNANT WOMEN WHO RECEIVE AT LEAST ONE HOME VISIT BY AN HSA,NULL
CBMNH # OF PREGNANT WOMEN WITH AT LEAST ONE DANGER SIGN REFERRED BY AN HSA TO A HEALTH FACILITY,NULL
CBMNH # OF WOMEN WHO DELIVERED AT HOME WHO RECEIVED POSTNATAL HOME VISIT WITHIN 24 HRS OF DELIVERY BY A HSA,NULL
CBMNH # OF WOMEN WHO DIED DURING DELIVERY AND WITHIN 8 DAYS OF DELIVERY,NULL
CBMNH # OF WOMEN WHO DIED DURING PREGNANCY,NULL
CBMNH # OF WOMEN WHO RECEIVE AT LEAST 1 POSTNATAL HOME VISIT BY AN HSA WITHIN 3 DAYS OF DELIVERY,NULL
CBMNH # OF WOMEN WHO RECEIVE AT LEAST 2 POSTNATAL HOME VISITS BY AN HSA WITHIN 8 DAYS OF DELIVERY,NULL
CC 1 YEAR FOLLOW UP <30,NULL
CC 1 YEAR FOLLOW UP 30 45,NULL
CC 1 YEAR FOLLOW UP >45,NULL
CC 1 YEAR FOLLOW UP HIV,NULL
CC 1 YEAR FOLLOW UP HIV+,NULL
CC 1 YEAR FOLLOW UP UNKNOWN,NULL
CC 1 YEAR FOLLOW UP VIA <30,NULL
CC 1 YEAR FOLLOW UP VIA + <30,NULL
CC 1 YEAR FOLLOW UP VIA 30 45,NULL
CC 1 YEAR FOLLOW UP VIA +30 45,NULL
CC 1 YEAR FOLLOW UP VIA >45,NULL
CC 1 YEAR FOLLOW UP VIA + >45,NULL
CC 1 YEAR FOLLOW UP VIA HIV,NULL
CC 1 YEAR FOLLOW UP VIA HIV+,NULL
CC 1 YEAR FOLLOW UP VIA + HIV,NULL
CC 1 YEAR FOLLOW UP VIA + HIV+,NULL
CC 1 YEAR FOLLOW UP VIA UNKNOWN,NULL
CC 1 YEAR FOLLOW UP VIA + UNKNOWN,NULL
CC 3 MONTHS REVIEW <30,NULL
CC 3 MONTHS REVIEW 30 45,NULL
CC 3 MONTHS REVIEW >45,NULL
CC 3 MONTHS REVIEW HIV,NULL
CC 3 MONTHS REVIEW HIV+,NULL
CC 3 MONTHS REVIEW UNKNOWN,NULL
CC IMMEDIATE CRYO DONE <30,NULL
CC IMMEDIATE CRYO DONE 30 45,NULL
CC IMMEDIATE CRYO DONE >45,NULL
CC IMMEDIATE CRYO DONE HIV,NULL
CC IMMEDIATE CRYO DONE HIV+,NULL
CC IMMEDIATE CRYO DONE UNKNOWN,NULL
CC INITIAL VIA+ <30,NULL
CC INITIAL VIA 30 45,NULL
CC INITIAL VIA 30 45,NULL
CC INITIAL VIA+ 30 45,NULL
CC INITIAL VIA >45,NULL
CC INITIAL VIA >45,NULL
CC INITIAL VIA+ >45,NULL
CC INITIAL VIA HIV,NULL
CC INITIAL VIA HIV +,NULL
CC INITIAL VIA HIV,NULL
CC INITIAL VIA HIV +,NULL
CC INITIAL VIA+ HIV,NULL
CC INITIAL VIA+ HIV +,NULL
CC INITIAL VIA HIV <30,NULL
CC INITIAL VIA HIV <30,NULL
CC INITIAL VIA HIV UNKNOWN,NULL
CC INITIAL VIA UNKNOWN,NULL
CC INITIAL VIA+ UNKNOWN,NULL
CC POSTPONED CRYO <30,NULL
CC POSTPONED CRYO 30 45,NULL
CC POSTPONED CRYO >45,NULL
CC POSTPONED CRYO DONE <30,NULL
CC POSTPONED CRYO DONE 30 45,NULL
CC POSTPONED CRYO DONE >45,NULL
CC POSTPONED CRYO DONE HIV,NULL
CC POSTPONED CRYO DONE HIV+,NULL
CC POSTPONED CRYO DONE UNKNOWN,NULL
CC POSTPONED CRYO HIV,NULL
CC POSTPONED CRYO HIV+,NULL
CC POSTPONED CRYO NOT DONE <30,NULL
CC POSTPONED CRYO NOT DONE 30 45,NULL
CC POSTPONED CRYO NOT DONE >45,NULL
CC POSTPONED CRYO NOT DONE HIV,NULL
CC POSTPONED CRYO NOT DONE HIV+,NULL
CC POSTPONED CRYO NOT DONE UNKNOWN,NULL
CC POSTPONED CRYO UNKNOWN,NULL
CC PROBLEM VISIT <30,NULL
CC PROBLEM VISIT 30 45,NULL
CC PROBLEM VISIT >45,NULL
CC PROBLEM VISIT HIV,NULL
CC PROBLEM VISIT HIV+,NULL
CC PROBLEM VISIT UNKNOWN,NULL
CC REFERRAL >45,NULL
CC REFERRAL LARGE LESION <30,NULL
CC REFERRAL LARGE LESION 30 45,NULL
CC REFERRAL LARGE LESION >45,NULL
CC REFERRAL LARGE LESION HIV,NULL
CC REFERRAL LARGE LESION HIV+,NULL
CC REFERRAL LARGE LESION UNKNOWN,NULL
CC REFERRAL OTHER GYN <30,NULL
CC REFERRAL OTHER GYN 30 45,NULL
CC REFERRAL OTHER GYN >45,NULL
CC REFERRAL OTHER GYN HIV,NULL
CC REFERRAL OTHER GYN HIV+,NULL
CC REFERRAL OTHER GYN UNKNOWN,NULL
CC REFERRAL SUSPECT CANCER <30,NULL
CC REFERRAL SUSPECT CANCER 30 45,NULL
CC REFERRAL SUSPECT CANCER >45,NULL
CC REFERRAL SUSPECT CANCER HIV,NULL
CC REFERRAL SUSPECT CANCER HIV+,NULL
CC REFERRAL SUSPECT CANCER UNKNOWN,NULL
CHICKEN POX ADMISSION,NULL
CHICKEN POX INPATIENT DEATH,NULL
CHICKEN POX NEW,NULL
CHOLERA ADMISSION,NULL
CHOLERA UNDER 5 YEARS ADMISSION,NULL
CHOLERA UNDER 5 YEARS INPATIENT DEATH,NULL
CHOLERA UNDER 5 YEARS NEW,NULL
CHRONIC PSYCHIATRIC DISORDER ADMISSION,NULL
CHRONIC PSYCHIATRIC DISORDER INPATIENT DEATH,NULL
CHRONIC PSYCHIATRIC DISORDER NEW,NULL
CLINICAL OFFICERS IN POST,NULL
COUNT  OF THOSE ASSESSED # WITH NORMAL NUTRITIONAL STATUS ANC PMTC,NULL
COUNT  OF THOSE ASSESSED # WITH NORMAL NUTRITIONAL STATUS OPD,NULL
