3 MONTHS REVIEW HIV,3,HIV,HIV
ACUTE RESPIRATORY INFECTIONS # OF COMMUNITY MEETINGS COMMEMORATION DAYS MALES,ACUTE,OPD,NULL
ACUTE RESPIRATORY INFECTIONS # OF FILM SHOWS,ACUTE,OPD,NULL
ACUTE RESPIRATORY INFECTIONS # OF FILM SHOWS FEMALES,ACUTE,OPD,NULL
ACUTE RESPIRATORY INFECTIONS # OF FILM SHOWS MALES,ACUTE,OPD,NULL
ACUTE RESPIRATORY INFECTIONS # OF INTERACTIVE DRAMA SESSIONS,ACUTE,OPD,NULL
ACUTE RESPIRATORY INFECTIONS # OF INTERACTIVE DRAMA SESSIONS FEMALES,ACUTE,OPD,NULL
ACUTE RESPIRATORY INFECTIONS # OF INTERACTIVE DRAMA SESSIONS MALES,ACUTE,OPD,NULL
ACUTE RESPIRATORY INFECTIONS # OF ROAD SHOWS,ACUTE,OPD,NULL
ACUTE RESPIRATORY INFECTIONS # OF ROAD SHOWS FEMALES,ACUTE,OPD,NULL
ACUTE RESPIRATORY INFECTIONS # OF ROAD SHOWS MALES,ACUTE,OPD,NULL
ACUTE RESPIRATORY INFECTIONS OTHER,ACUTE,OPD,NULL
ACUTE RESPIRATORY INFECTIONS POSTERS,ACUTE,OPD,NULL
ACUTE RESPIRATORY INFECTIONS RURAL COMM HOSP,ACUTE,OPD,NULL
ACUTE RESPIRATORY INFECTIONS TOTAL # PROVIDED IN THIS QUARTER,ACUTE,TOTAL,NULL
ACUTE RESPIRATORY INFECTIONS TV DVDS,ACUTE,OPD,NULL
ADMISSIONS FROM ALL CAUSES,ADMISSIONS,OPD,NULL
ADOLESCENT 12 18 YEARS ADMISSIONS,ADOLESCENT,OPD,NULL
ADOLESCENT 12 18 YEARS DEFAULT  LOST TO FOLLOW UP  F,ADOLESCENT,OPD,NULL
ADOLESCENT 12 18 YEARS DIED H,ADOLESCENT,OPD,NULL
ADOLESCENT 12 18 YEARS MODERATE ADMISSIONS,ADOLESCENT,OPD,NULL
ADOLESCENT 12 18 YEARS MODERATE ADMISSIONS,ADOLESCENT,OPD,NULL
ADOLESCENT 12 18 YEARS MODERATE DEFAULT LOST TO FOLLOW UP  F,ADOLESCENT,OPD,NULL
ADOLESCENT 12 18 YEARS MODERATE DIED H,ADOLESCENT,OPD,NULL
ADOLESCENT 12 18 YEARS MODERATE NON RECOVERED  TREATMENT FAILURE  I,ADOLESCENT,OPD,NULL
ADOLESCENT 12 18 YEARS MODERATE RECOVERED TRANSITIONED  E,ADOLESCENT,OPD,NULL
ADOLESCENT 12 18 YEARS MODERATE RECOVERED  TRANSITIONED  E,ADOLESCENT,OPD,NULL
ADOLESCENT 12 18 YEARS MODERATE TOTAL AT THE END OF THE MONTH,ADOLESCENT,TOTAL,NULL
ADOLESCENT 12 18 YEARS MODERATE TOTAL AT THE START OF THE MONTH,ADOLESCENT,TOTAL,NULL
ADOLESCENT 12 18 YEARS MODERATE TOTAL=E+F+H+I+J,ADOLESCENT,TOTAL,NULL
ADOLESCENT 12 18 YEARS MODERATE TOTAL WHO RECEIVED SUPPLEMENTARY,ADOLESCENT,TOTAL,NULL
ADOLESCENT 12 18 YEARS MODERATE TRANSFERRED OUT J,ADOLESCENT,OPD,NULL
ADOLESCENT 12 18 YEARS NON RECOVERED  TREATMENT FAILURE  I,ADOLESCENT,OPD,NULL
ADOLESCENT 12 18 YEARS RECOVERED  TRANSITIONED  E,ADOLESCENT,OPD,NULL
ADOLESCENT 12 18 YEARS TOTAL AT THE END OF THE MONTH,ADOLESCENT,TOTAL,NULL
ADOLESCENT 12 18 YEARS TOTAL AT THE START OF THE MONTH,ADOLESCENT,TOTAL,NULL
ADOLESCENT 12 18 YEARS TOTAL=E+F+H+I+J,ADOLESCENT,TOTAL,NULL
ADOLESCENT 12 18 YEARS TOTAL WHO RECEIVED THERAPEUTIC AND OR SUPPLEMENTARY FOOD,ADOLESCENT,TOTAL,NULL
ADOLESCENT 12 18 YEARS TRANSFERRED OUT J,ADOLESCENT,OPD,NULL
ADULTS 19 YEARS OR OLDER ADMISSIONS,ADULTS,OPD,NULL
ADULTS 19 YEARS OR OLDER DEFAULT  LOST TO FOLLOW UP  F,ADULTS,OPD,NULL
ADULTS 19 YEARS OR OLDER DIED H,ADULTS,OPD,NULL
ADULTS 19 YEARS OR OLDER MODERATE ADMISSIONS,ADULTS,OPD,NULL
ADULTS 19 YEARS OR OLDER MODERATE DEFAULT LOST TO FOLLOW UP  F,ADULTS,OPD,NULL
ADULTS 19 YEARS OR OLDER MODERATE DIED H,ADULTS,OPD,NULL
ADULTS 19 YEARS OR OLDER MODERATE NON RECOVERED  TREATMENT FAILURE  I,ADULTS,OPD,NULL
ADULTS 19 YEARS OR OLDER MODERATE RECOVERED  TRANSITIONED  E,ADULTS,OPD,NULL
ADULTS 19 YEARS OR OLDER MODERATE TOTAL AT THE END OF THE MONTH,ADULTS,TOTAL,NULL
ADULTS 19 YEARS OR OLDER MODERATE TOTAL AT THE START OF THE MONTH,ADULTS,TOTAL,NULL
ADULTS 19 YEARS OR OLDER MODERATE TOTAL=E+F+H+I+J,ADULTS,TOTAL,NULL
ADULTS 19 YEARS OR OLDER MODERATE TOTAL WHO RECEIVED SUPPLEMENTARY FOOD,ADULTS,TOTAL,NULL
ADULTS 19 YEARS OR OLDER MODERATE TOTAL WHO RECEIVED THERAPEUTIC AND OR SUPPLEMENTARY FOOD,ADULTS,TOTAL,NULL
ADULTS 19 YEARS OR OLDER MODERATE TRANSFERRED OUT,ADULTS,OPD,NULL
ADULTS 19 YEARS OR OLDER NON RECOVERED  TREATMENT FAILURE  I,ADULTS,OPD,NULL
ADULTS 19 YEARS OR OLDER RECOVERED  TRANSITIONED  E,ADULTS,OPD,NULL
ADULTS 19 YEARS OR OLDER TOTAL AT THE END OF THE MONTH,ADULTS,TOTAL,NULL
ADULTS 19 YEARS OR OLDER TOTAL AT THE START OF THE MONTH,ADULTS,TOTAL,NULL
ADULTS 19 YEARS OR OLDER TOTAL AT THE START OF THE MONTH,ADULTS,TOTAL,NULL
ADULTS 19 YEARS OR OLDER TOTAL=E+F+H+I+J,ADULTS,TOTAL,NULL
ADULTS 19 YEARS OR OLDER TOTAL WHO RECEIVED THERAPEUTIC AND OR SUPPLEMENTARY FOOD,ADULTS,TOTAL,NULL
ADULTS 19 YEARS OR OLDER TRANSFERRED OUT J,ADULTS,OPD,NULL
ALL OTHER COMMUNICABLE DISEASES ADMISSION,ALL,NULL,NULL
ALL OTHER COMMUNICABLE DISEASES INPATIENT DEATH,ALL,NULL,NULL
ALL OTHER COMMUNICABLE DISEASES NEW,ALL,NULL,NULL
ALL OTHER NON COMMUNICABLE DISEASES NEW,ALL,NULL,NULL
ALL OTHER POSITIONS,ALL,NULL,NULL
ALL OTHER SURGICAL CONDITIONS ADMISSION,ALL,NULL,NULL
ALL OTHER SURGICAL CONDITIONS INPATIENT DEATH,ALL,NULL,NULL
ALL OTHER SURGICAL CONDITIONS NEW,ALL,NULL,NULL
"AM NUMBER OF ASSET LOSSES  INCLUDING THEFTS ",AM,NULL,NULL
AM NUMBER OF ASSETS ACQUIRED,AM,NULL,NULL
AM NUMBER OF ASSETS DONATIONS RECEIVED,AM,NULL,NULL
AM NUMBER OF ASSETS MANTAINED,AM,NULL,NULL
AM NUM OF ASSETS REPORTEDLY IN NEED OF MANTAINANCE,AM,NULL,NULL
AM TOTAL COST OF ALL ASSET REPAIRS INCURRED,AM,TOTAL,NULL
AM TOTAL ESTIMATED VALUE OF ALL ASSETS LOSSES,AM,TOTAL,NULL
"AM TOT ESTIMATED VALUE OF ASSETS RECEIVED  PURCHASES AND DONATIONS ",AM,NULL,NULL
ANAEMIA ADMISSION,ANAEMIA,NULL,NULL
ANAEMIA INPATIENT DEATH,ANAEMIA,NULL,NULL
ANAEMIA NEW,ANAEMIA,NULL,NULL
ANC ART STATUS 1ST VISIT NOT ON ART,ANC,ANC,HIV
ANC ART STATUS 1ST VISIT ON ART BEFORE ANC,ANC,ANC,HIV
ANC ART STATUS 1ST VISIT START ART 0 27 WKS,ANC,ANC,HIV
ANC ART STATUS 1ST VISIT START ART 28+ WKS,ANC,ANC,HIV
ANC HIV STATUS 1ST VISIT NEW VE,ANC,ANC,HIV
ANC HIV STATUS 1ST VISIT NEW +VE,ANC,ANC,HIV
ANC HIV STATUS 1ST VISIT NOT DONE,ANC,ANC,HIV
ANC HIV STATUS 1ST VISIT PREV VE,ANC,ANC,HIV
ANC HIV STATUS 1ST VISIT PREV +VE,ANC,ANC,HIV
ANC HIV TEST RESULT NEW VE,ANC,ANC,HIV
ANC HIV TEST RESULT NEW +VE,ANC,ANC,HIV
ANC HIV TEST RESULT NOT DONE,ANC,ANC,HIV
ANC HIV TEST RESULT PREV VE,ANC,ANC,HIV
ANC HIV TEST RESULT PREV +VE,ANC,ANC,HIV
ANC NEW WOMEN REGISTERED,ANC,ANC,HIV
ANC NOT ON ART,ANC,ANC,HIV
ANC ON ART BEFORE ANC,ANC,ANC,HIV
ANC PRE ECLAMSIA YES,ANC,ANC,HIV
ANC RECEIVED 2+ TTV DOSES,ANC,ANC,HIV
ANC RECEIVED FEFO 120+ TABS,ANC,ANC,HIV
ANC RECIEVED 0 SP DOSES,ANC,ANC,HIV
ANC RECIEVED 1X3 SP TABS,ANC,ANC,HIV
ANC RECIEVED 2X3 SP TABS,ANC,ANC,HIV
ANC RECIEVED ALBENDAZOLE 1 DOSE,ANC,ANC,HIV
ANC RECIEVED ITN,ANC,ANC,HIV
ANC RECIEVED NVP,ANC,ANC,HIV
ANC STARTED 1 VISITS IN WK 0 12,ANC,ANC,HIV
ANC SYPHILIS STATUS UNKNOWN,ANC,ANC,HIV
ANC SYPHILIS STATUS VE,ANC,ANC,HIV
ANC SYPHILIS STATUS +VE,ANC,ANC,HIV
ANC TOTAL WITH 1 VISIT,ANC,ANC,HIV
ANC TOTAL WITH 2 VISITS,ANC,ANC,HIV
ANC TOTAL WITH 3 VISITS,ANC,ANC,HIV
ANC TOTAL WITH 4 VISITS,ANC,ANC,HIV
ANC TOTAL WITH 5+ VISITS,ANC,ANC,HIV
ANC TOT STARTED ART 28+ WKS,ANC,ANC,HIV
ANC TOTSTARTED ART AT 0 27 WKS,ANC,ANC,HIV
ANC WOMEN ON CPT,ANC,ANC,HIV
A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION ANC PMTC,A,SS,NULL
A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION OPD,A,SS,NULL
A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION OTHER,A,SS,NULL
A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION PRE ART ART,A,SS,NULL
A  OF THOSE ASSESSED # WITH SEVERE UNDERNUTRITION TB,A,SS,NULL
ART ADHERENCE 0 – 6 DOSES MISSED,ART,ART,HIV
ART ADHERENCE 7+ DOSES MISSED,ART,ART,HIV
ART ADHERENCE UNKNOWN,ART,ART,HIV
ART ADULTS 15 YEARS OR OLDER AT ART INITIATION,ART,ART,HIV
ART ADULTS 15 YEARS OR OLDER AT ENROLMENT,ART,ART,HIV
ART ANC,ART,ART,HIV
ART ARV SUPPLY HUB SITE,ART,ART,HIV
ART BLOOD COLLECTION,ART,ART,HIV
ART BREASTFEEDING MOTHERS,ART,ART,HIV
ART CD4 BELOW THRESHOLD,ART,ART,HIV
"ART CD4 COUNT  ON SITE ",ART,ART,HIV
ART CHILDREN 12 23 MONTHS,ART,ART,HIV
ART CHILDREN 24 M 14 YRS AT ART INITIATION,ART,ART,HIV
ART CHILDREN 24 MONTHS 14 YRS AT ENROLM,ART,ART,HIV
ART CHILDREN 2 BELOW 24 MONTHS AT ENROLM,ART,ART,HIV
ART CHILDREN BELOW 24 M AT ART INITIATION,ART,ART,HIV
ART COHORT 108 MONTH SURVIVAL ALL AGES,ART,ART,HIV
ART COHORT 120 MONTH SURVIVAL ALL AGES,ART,ART,HIV
ART COHORT 12 MONTH SURVIVAL ALL AGES,ART,ART,HIV
ART COHORT 12 MONTH SURVIVAL CHILDREN,ART,ART,HIV
ART COHORT 12 MONTH SURVIVAL OPTIONB+,ART,ART,HIV
ART COHORT 24 MONTH SURVIVAL ALL AGES,ART,ART,HIV
ART COHORT 24 MONTH SURVIVAL OPTIONB+,ART,ART,HIV
ART COHORT 36 MONTH SURVIVAL ALL AGES,ART,ART,HIV
ART COHORT 48 MONTH SURVIVAL ALL AGES,ART,ART,HIV
ART COHORT 60 MONTH SURVIVAL ALL AGES,ART,ART,HIV
ART COHORT 6 MONTH SURVIVAL OPTIONB+,ART,ART,HIV
ART COHORT 72 MONTH SURVIVAL ALL AGES,ART,ART,HIV
ART COHORT 84 MONTH SURVIVAL ALL AGES,ART,ART,HIV
ART COHORT 96 MONTH SURVIVAL ALL AGES,ART,ART,HIV
ART CONFIRMED INFECTED PATIENTS,ART,ART,HIV
ART CURRENT EPISODE OF TB,ART,ART,HIV
ART DEFAULTED,ART,ART,HIV
"ART DEFAULTED  PRE ART ",ART,ART,HIV
ART DIED AFTER THE END OF THE 3RD MONTH AFTER ART INITIATION,ART,ART,HIV
"ART DIED  PRE ART ",ART,ART,HIV
ART DIED TOTAL,ART,ART,HIV
ART DIED WITHIN THE 1ST MONTH AFTER ART INITIATION,ART,ART,HIV
ART DIED WITHIN THE 2ND MONTH AFTER ART INITIATION,ART,ART,HIV
ART DIED WITHIN THE 3RD MONTH AFTER ART INITIATION,ART,ART,HIV
ART END TIME,ART,ART,HIV
ART EXPOSED INFANTS,ART,ART,HIV
ART FIRST ART PATIENT REG,ART,ART,HIV
ART FP,ART,ART,HIV
"ART HCC MALES  ALL AGES ",ART,ART,HIV
ART HCC NON PREGNANT FEMALES,ART,ART,HIV
ART HCC PREGNANT FEMALES,ART,ART,HIV
ART HCC TOTAL REGISTERED,ART,ART,HIV
ART HIV EXP CHILD FUP,ART,ART,HIV
ART INFANTS <12 MTHS PCR+,ART,ART,HIV
ART INFANTS BELOW 2 MONTHS AT ENROLMENT,ART,ART,HIV
ART KS KAPOSI’S SARCOMA,ART,ART,HIV
ART MALES,ART,ART,HIV
ART MATERNITY,ART,ART,HIV
ART NEVER TB OR TB OVER 2 YEARS AGO,ART,ART,HIV
ART NEW ACTION POINTS FOR CLINIC TEAM,ART,ART,HIV
ART NEW ACTION POINTS FOR SUPERVISION TEAM,ART,ART,HIV
ART NON PREGNANT FEMALES,ART,ART,HIV
ART PATIENTS ALIVE ON ART CURRENTLY ON CPT,ART,ART,HIV
ART PATIENTS ENROLLED FIRST TIME,ART,ART,HIV
ART PATIENTS INITIATED ON ART FIRST TIME,ART,ART,HIV
ART PATIENTS RE ENROLLED,ART,ART,HIV
ART PATIENTS RE INITIATED ON ART,ART,ART,HIV
ART PATIENTS RETAINED IN PRE ART CURRENTLY ON CPT,ART,ART,HIV
ART PATIENTS RETAINED IN PRE ART CURRENTLY ON IPT,ART,ART,HIV
ART PATIENTS TRANSFERRED IN,ART,ART,HIV
ART PATIENTS TRANSFERRED IN ON ART,ART,ART,HIV
ART PREGNANT FEMALES,ART,ART,HIV
ART PREGNANT WOMEN,ART,ART,HIV
ART PRES SEV HIV DISEASE AGE <12 M,ART,ART,HIV
"ART REGIMENS OTHER  PAED ADULT ",ART,ART,HIV
ART REGIMENS REGIMEN 1A,ART,ART,HIV
ART REGIMENS REGIMEN 1P,ART,ART,HIV
ART REGIMENS REGIMEN 2A,ART,ART,HIV
ART REGIMENS REGIMEN 2P,ART,ART,HIV
ART REGIMENS REGIMEN 3A,ART,ART,HIV
ART REGIMENS REGIMEN 3P,ART,ART,HIV
ART REGIMENS REGIMEN 4A,ART,ART,HIV
ART REGIMENS REGIMEN 4P,ART,ART,HIV
ART REGIMENS REGIMEN 5A,ART,ART,HIV
ART REGIMENS REGIMEN 6A,ART,ART,HIV
ART REGIMENS REGIMEN 7A,ART,ART,HIV
ART REGIMENS REGIMEN 8A,ART,ART,HIV
ART REGIMENS REGIMEN 9P,ART,ART,HIV
ART SIDE EFFECTS ANY SIDE EFFECTS,ART,ART,HIV
ART SIDE EFFECTS NONE,ART,ART,HIV
ART SIDE EFFECTS UNKNOWN,ART,ART,HIV
ART STARTED ART,ART,ART,HIV
ART START TIME,ART,ART,HIV
ART STI TREAT,ART,ART,HIV
ART STOPPED TAKING ARVS,ART,ART,HIV
"ART TB REG INITIATION ",ART,ART,HIV
ART TB STATUS CONF NOT ON RX,ART,ART,HIV
ART TB STATUS CONF ON TB RX,ART,ART,HIV
ART TB STATUS NOT SUSPECTED,ART,ART,HIV
ART TB STATUS SUSPECTED,ART,ART,HIV
ART TB STATUS UNKNOWN,ART,ART,HIV
ART TB WITHIN THE LAST 2 YEARS,ART,ART,HIV
ART TLC <1200 MM3,ART,ART,HIV
ART TOTAL ALIVE AND ON ART,ART,ART,HIV
ART TOTAL PERSONS GIVEN PEP IN LAST QUARTER,ART,ART,HIV
ART TOTAL REGISTERED,ART,ART,HIV
ART TOTAL RETAINED ALIVE IN PRE ART FOLLOW UP,ART,ART,HIV
ART TRANSFERRED OUT,ART,ART,HIV
"ART TRANSFERRED OUT  PRE ART ",ART,ART,HIV
ART TRANSFUSION,ART,ART,HIV
ART UNKNOWN REASON OUTSIDE GUIDELINES,ART,ART,HIV
ART VISIT DATE,ART,ART,HIV
ART WHO STAGE 3,ART,ART,HIV
ART WHO STAGE 4,ART,ART,HIV
ART WOMEN RECEIVED DEPO AT ART IN THE LAST QUARTER,ART,ART,HIV
ART WOMEN RECEIVED DEPO AT PRE ART IN THE LAST QUARTER,ART,ART,HIV
ASTHMA ADMISSION,ASTHMA,NULL,NULL
ASTHMA INPATIENT DEATH,ASTHMA,NULL,NULL
ASTHMA NEW,ASTHMA,NULL,NULL
BILHARZIA ADMISSION,BILHARZIA,NULL,NULL
BILHARZIA INPATIENT DEATH,BILHARZIA,NULL,NULL
B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION ANC PMTC,B,SS,NULL
B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION OPD,B,SS,NULL
B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION OTHER,B,SS,NULL
B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION PRE ART ART,B,SS,NULL
B  OF THOSE ASSESSED # WITH MODERATE UNDERNUTRITION TB,B,SS,NULL
CANCER DISTRICT HOSPITAL,CANCER,ONC,NULL
CANCER FLIPCHART,CANCER,ONC,NULL
CANCER HEALTH CENTRE,CANCER,ONC,NULL
CANCER LEAFLETS,CANCER,ONC,NULL
CANCER NONE,CANCER,ONC,NULL
CANCER # OF COMMUNITY MEETINGS COMMEMORATION DAYS,CANCER,ONC,NULL
CANCER # OF FILM SHOWS,CANCER,ONC,NULL
CANCER # OF INTERACTIVE DRAMA SESSIONS,CANCER,ONC,NULL
CANCER # OF ROAD SHOWS,CANCER,ONC,NULL
CANCER OTHER,CANCER,ONC,NULL
CANCER POSTERS,CANCER,ONC,NULL
CANCER RURAL COMM HOSP,CANCER,ONC,NULL
CANCER TOTAL# PROVIDED IN THIS QUARTER,CANCER,ONC,NULL
CANCER TV DVDS,CANCER,ONC,NULL
CATARACT ADMISSION,CATARACT,NULL,NULL
CATARACT INPATIENT DEATH,CATARACT,NULL,NULL
CATARACT NEW,CATARACT,NULL,NULL
CBD CLIENT AGE<18,CBD,CBD,NULL
CBD CLIENT AGE 19 25,CBD,CBD,NULL
CBD CLIENT AGE 26 35,CBD,CBD,NULL
CBD CLIENT AGE 36 49,CBD,CBD,NULL
CBD CLIENTS CHANGING METHODS,CBD,CBD,NULL
CBD CONTINUING CLIENTS,CBD,CBD,NULL
CBD DEPO,CBD,CBD,NULL
CBD HEALTH EDUCATION MESSAGES F,CBD,CBD,NULL
CBD HEALTH EDUCATION MESSAGES M,CBD,CBD,NULL
CBD IMPLANTS,CBD,CBD,NULL
CBD IMPLANTS IMPLANON,CBD,CBD,NULL
CBD IMPLANTS JADELLE,CBD,CBD,NULL
CBD LOOP,CBD,CBD,NULL
CBD LOSSES ADJUSTMENT VE,CBD,CBD,NULL
CBD LOSSES ADJUSTMENT +VE,CBD,CBD,NULL
CBD NEW CLIENTS,CBD,CBD,NULL
CBD NEW QUANTITY ON HAND,CBD,CBD,NULL
CBD PHYSICAL EXAMINATIONS,CBD,CBD,NULL
CBD QUANTITY DISPENSED,CBD,CBD,NULL
CBD QUANTITY ISSUED,CBD,CBD,NULL
CBD QUANTITY ON HAND,CBD,CBD,NULL
CBD RETURNING CLIENTS,CBD,CBD,NULL
CBD SIDE EFFECTS,CBD,CBD,NULL
CBD TUBAL LIGATION,CBD,CBD,NULL
CBMNC # OF 1ST HOME VISITS TO MOTHER NEWBORNS WITHIN 3 DAYS OF DELIVERY,CBMNC,CBMNC,NULL
CBMNC # OF 1ST HOME VISITS TO PREGNANT WOMEN CONDUCTED THIS MONTH,CBMNC,CBMNC,NULL
CBMNC # OF HOME VISITS TO MOTHERS NEWBORNS WITHIN 1 WEEK OF DELIVERY,CBMNC,CBMNC,NULL
CBMNC # OF NEWBORNS WITH 1 OR MORE DANGER SIGNS REFERRED TO HEALTH FACILITY,CBMNC,CBMNC,NULL
CBMNC # OF PREGNANT WOMEN WITH 1 OR MORE DANGER SIGNS REFERRED TO HEALTH FACILITY,CBMNC,CBMNC,NULL
CBMNC # OF REPORTING HEALTH CENTRES,CBMNC,CBMNC,NULL
CBMNC # OF SECOND HOME VISITS TO PREGNANT WOMEN CONDUCTED THIS MONTH,CBMNC,CBMNC,NULL
CBMNC # OF WOMEN WITH ONE OR MORE DANGER SIGN REFERRED TO HEALTH FACILITY AFTER DELIVERY,CBMNC,CBMNC,NULL
CBMNH HF CATCHMENT POPULATION,CBMNH,CBMNH,NULL
CBMNH # HSAS REPORTING THIS MONTH,CBMNH,CBMNH,NULL
CBMNH # HSAS TRAINED IN CBMNC,CBMNH,CBMNC,NULL
CBMNH # OF BABIES IDENTIFIED AS LBW  <2500G  BY HSA WITHIN 8 DAYS OF DELIVERY,CBMNH,CBMNH,NULL
CBMNH # OF BIRTHS  HOME OR FACILITY  REGISTERED BY HSAS THIS MONTH,CBMNH,CBMNH,NULL
CBMNH # OF COMPLETED PREGNANCIES THIS MONTH,CBMNH,CBMNH,NULL
CBMNH # OF EARLY NEONATAL DEATHS  0 7 DAYS AFTER BIRTH  OCCURRED IN THE COMMUNITY,CBMNH,CBMNH,NULL
CBMNH # OF ELIGIBLE LBW  BETWEEN 2000G AND 2500G  INITIATING COMMUNITY KMC,CBMNH,CBMNH,NULL
CBMNH # OF HOME DELIVERIES REGISTERED BY HSAS THIS MONTH,CBMNH,CBMNH,NULL
CBMNH # OF LBW NEWBORNS WHO ARE REFERRED FOR EXTRA CARE,CBMNH,CBMNH,NULL
CBMNH # OF LIVE BIRTHS DELIVERED AT HOME REGISTERED BY HSAS THIS MONTH,CBMNH,CBMNH,NULL
CBMNH # OF LIVE BIRTHS  HOME OR FACILITY  REGISTERED BY HSAS THIS MONTH,CBMNH,CBMNH,NULL
CBMNH # OF NEWBORNS BORN AT HOME WHO RECEIVE A HOME VISIT BY AN HSA WITHIN 24 HOURS OF DELIVERY,CBMNH,CBMNH,NULL
CBMNH # OF NEWBORNS WHO RECEIVE AT LEAST 1 HOME VISIT FROM AN HSA WITHIN 3 DAYS OF DELIVERY,CBMNH,CBMNH,NULL
CBMNH # OF NEWBORNS WHO RECEIVE AT LEAST 2 HOME VISITS FROM AN HSA WITHIN 8 DAYS OF DELIVERY,CBMNH,CBMNH,NULL
CBMNH # OF NEWBORNS WITH AT LEAST ONE DANGER SIGN REFERRED BY AN HSA TO A HEALTH FACILITY,CBMNH,CBMNH,NULL
CBMNH # OF NEW PREGNANCIES REGISTERED THIS MONTH,CBMNH,CBMNH,NULL
CBMNH # OF PREGNANT WOMEN WHO HAVE A COMPLETE BIRTH PLAN BY THE END OF THIRD TRIMESTER,CBMNH,CBMNH,NULL
CBMNH # OF PREGNANT WOMEN WHO RECEIVE AT LEAST ONE HOME VISIT BY AN HSA,CBMNH,CBMNH,NULL
CBMNH # OF PREGNANT WOMEN WITH AT LEAST ONE DANGER SIGN REFERRED BY AN HSA TO A HEALTH FACILITY,CBMNH,CBMNH,NULL
