Element Code,System,Label,Element,System Type ,Level ,HIV,Program Area,Kuunika Goal ,Potential Overlap (HIV),Overlap 
47,BHT-EMR,BART,CD4 Count date,Electronic,Facility ,Y,ART,4,N,NULL
48,BHT-EMR,BART,CD4 Count Location,Electronic,Facility ,Y,ART,4,N,NULL
49,BHT-EMR,BART,Cell Phone,Electronic,Facility ,Y,DEMO,4,Y,NULL
50,BHT-EMR,BART,Clinical Notes,Electronic,Facility ,Y,ART,4,N,NULL
51,BHT-EMR,BART,Closest Landmark,Electronic,Facility ,Y,DEMO,4,Y,NULL
52,BHT-EMR,BART,Confirmatory HIV Test year,Electronic,Facility ,Y,ART,4,Y,NULL
53,BHT-EMR,BART,Confirmatory test,Electronic,Facility ,Y,ART,4,Y,NULL
54,BHT-EMR,BART,Confirmatory test centre,Electronic,Facility ,Y,ART,4,Y,NULL
55,BHT-EMR,BART,Cotrimoxaxole dosage,Electronic,Facility ,Y,ART,4,?,NULL
56,BHT-EMR,BART,CPT prescription,Electronic,Facility ,Y,ART,4,?,NULL
57,BHT-EMR,BART,Current District,Electronic,Facility ,Y,DEMO,4,Y,NULL
58,BHT-EMR,BART,Current Region,Electronic,Facility ,Y,DEMO,4,Y,NULL
59,BHT-EMR,BART,Date ART started,Electronic,Facility ,Y,ART,4,Y,NULL
60,BHT-EMR,BART,Date of Birth,Electronic,Facility ,Y,DEMO,4,Y,NULL
61,BHT-EMR,BART,Date of CD4 Count,Electronic,Facility ,Y,ART,4,Y,NULL
62,BHT-EMR,BART,Day ART last taken,Electronic,Facility ,Y,ART,4,Y,NULL
63,BHT-EMR,BART,Dose strength,Electronic,Facility ,Y,ART,14,Y,NULL
64,BHT-EMR,BART,Drug dispensation,Electronic,Facility ,Y,ART,14,Y,NULL
65,BHT-EMR,BART,Duration,Electronic,Facility ,Y,ART,4,?,NULL
66,BHT-EMR,BART,First Name,Electronic,Facility ,Y,DEMO,4,Y,NULL
67,BHT-EMR,BART,Formulation,Electronic,Facility ,Y,ART,4,Y,NULL
68,BHT-EMR,BART,Frequency,Electronic,Facility ,Y,ART,4,Y,NULL
69,BHT-EMR,BART,Gender,Electronic,Facility ,Y,DEMO,4,Y,NULL
70,BHT-EMR,BART,Generic drug,Electronic,Facility ,Y,ART,14,Y,NULL
71,BHT-EMR,BART,Ground Phone Number,Electronic,Facility ,Y,DEMO,4,Y,NULL
72,BHT-EMR,BART,Height,Electronic,Facility ,Y,DEMO,4,Y,NULL
73,BHT-EMR,BART,Home District,Electronic,Facility ,Y,DEMO,4,Y,NULL
74,BHT-EMR,BART,Home Village,Electronic,Facility ,Y,DEMO,4,Y,NULL
75,BHT-EMR,BART,Initial CD4 Count,Electronic,Facility ,Y,ART,4,Y,NULL
76,BHT-EMR,BART,Initial CD4 Percent,Electronic,Facility ,Y,ART,4,Y,NULL
77,BHT-EMR,BART,Initial height,Electronic,Facility ,Y,DEMO,4,Y,NULL
78,BHT-EMR,BART,Initial weight,Electronic,Facility ,Y,DEMO,4,Y,NULL
79,BHT-EMR,BART,Last ARVs drugs taken,Electronic,Facility ,Y,ART,4,Y,NULL
80,BHT-EMR,BART,Last Name,Electronic,Facility ,Y,DEMO,4,Y,NULL
81,BHT-EMR,BART,Location of ART Initiation,Electronic,Facility ,Y,ART,4,Y,NULL
82,BHT-EMR,BART,Location of confirmatory HIV test,Electronic,Facility ,Y,ART,4,Y,NULL
83,BHT-EMR,BART,Location/Village,Electronic,Facility ,Y,DEMO,4,Y,NULL
84,BHT-EMR,BART,Lymphocyte count date,Electronic,Facility ,Y,ART,4,Y,NULL
85,BHT-EMR,BART,Lymphocyte Count Results,Electronic,Facility ,Y,ART,4,Y,NULL
86,BHT-EMR,BART,Lymphocyte Count Results availability,Electronic,Facility ,Y,ART,4,Y,NULL
87,BHT-EMR,BART,Middle name,Electronic,Facility ,Y,DEMO,4,Y,NULL
88,BHT-EMR,BART,Month ART started,Electronic,Facility ,Y,ART,4,Y,NULL
89,BHT-EMR,BART,Month of Birth,Electronic,Facility ,Y,DEMO,4,Y,NULL
90,BHT-EMR,BART,Month of CD4 Count,Electronic,Facility ,Y,ART,4,Y,NULL
91,BHT-EMR,BART,Moth ART last taken,Electronic,Facility ,Y,ART,4,Y,NULL
92,BHT-EMR,BART,Need for follow up for HIV care,Electronic,Facility ,Y,ART,4,Y,NULL
93,BHT-EMR,BART,Need for HIV care follow up,Electronic,Facility ,Y,ART,4,Y,NULL
94,BHT-EMR,BART,Need to prescribe ARVs,Electronic,Facility ,Y,ART,4,Y,NULL
95,BHT-EMR,BART,Need to Prescribe drugs,Electronic,Facility ,Y,ART,4,Y,NULL
96,BHT-EMR,BART,Next visit date,Electronic,Facility ,Y,ART,4,N,NULL
97,BHT-EMR,BART,Number of condoms given,Electronic,Facility ,Y,ART,4,N,NULL
98,BHT-EMR,BART,Occupation,Electronic,Facility ,Y,DEMO,4,Y,NULL
99,BHT-EMR,BART,Patient Breast feedin,Electronic,Facility ,Y,ART,4,Y,NULL
100,BHT-EMR,BART,Patient Pregnant,Electronic,Facility ,Y,ART,4,Y,NULL
101,BHT-EMR,BART,Previous ART clinic Registration,Electronic,Facility ,Y,ART,4,Y,NULL
102,BHT-EMR,BART,Previous ART Treatment or not,Electronic,Facility ,Y,ART,4,Y,NULL
103,BHT-EMR,BART,PRN,Electronic,Facility ,Y,ART,4,?,NULL
104,BHT-EMR,BART,Quantity,Electronic,Facility ,Y,ART,14,Y,NULL
105,BHT-EMR,BART,Reason for ART Eligibility,Electronic,Facility ,Y,ART,4,Y,NULL
106,BHT-EMR,BART,Recent CD4 Count results,Electronic,Facility ,Y,ART,4,Y,NULL
107,BHT-EMR,BART,Referal to clinician,Electronic,Facility ,Y,ART,4,Y,NULL
108,BHT-EMR,BART,Region of Origin,Electronic,Facility ,Y,DEMO,4,Y,NULL
109,BHT-EMR,BART,Stage information,Electronic,Facility ,Y,ART,4,Y,NULL
110,BHT-EMR,BART,Stages 1-2-3-4,Electronic,Facility ,Y,ART,4,Y,NULL
111,BHT-EMR,BART,Sulphur Alergy,Electronic,Facility ,Y,ART,4,Y,NULL
112,BHT-EMR,BART,TA/Area of residence,Electronic,Facility ,Y,DEMO,4,Y,NULL
113,BHT-EMR,BART,TB Associated Symptoms,Electronic,Facility ,Y,ART,4,Y,NULL
114,BHT-EMR,BART,TB status,Electronic,Facility ,Y,ART,4,Y,NULL
115,BHT-EMR,BART,Type of Confirmatory HIV test,Electronic,Facility ,Y,ART,4,Y,NULL
116,BHT-EMR,BART,Type of prescription Standard or variable,Electronic,Facility ,Y,ART,4,Y,NULL
117,BHT-EMR,BART,Type of relationship with patient,Electronic,Facility ,Y,DEMO,4,Y,NULL
118,BHT-EMR,BART,Usage of family planning methods,Electronic,Facility ,Y,ART,4,Y,NULL
119,BHT-EMR,BART,Weight,Electronic,Facility ,Y,ART,4,Y,NULL
120,BHT-EMR,BART,Year ART last taken,Electronic,Facility ,Y,ART,4,Y,NULL
121,BHT-EMR,BART,Year ART started,Electronic,Facility ,Y,ART,4,Y,NULL
122,BHT-EMR,BART,Year of Birth/age estimate,Electronic,Facility ,Y,DEMO,4,Y,NULL
123,BHT-EMR,BART,Year of CD4 count,Electronic,Facility ,Y,ART,4,Y,NULL
124,DHA-MIS,DHA,% of ANC women HIV+,Electronic,Central ,Y,PMTCT,346,Y,NULL
125,DHA-MIS,DHA,% of ANC women with HIV status ascertained,Electronic,Central ,Y,PMTCT,346,Y,NULL
126,DHA-MIS,DHA,% of HIV+ ANC women on ART,Electronic,Central ,Y,PMTCT,346,Y,NULL
127,DHA-MIS,DHA,(pre-) Eclampsia,Electronic,Central ,Y,PMTCT,46,Y,NULL
128,DHA-MIS,DHA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,DHA-MIS,DHA,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,DHA-MIS,DHA,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,DHA-MIS,DHA,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,DHA-MIS,DHA,12 month survival adults (non B+),Electronic,Central ,Y,ART,4,?,NULL
133,DHA-MIS,DHA,12 month survival all ages,Electronic,Central ,Y,ART,4,?,NULL
134,DHA-MIS,DHA,12 month survival children,Electronic,Central ,Y,ART,46,?,NULL
135,DHA-MIS,DHA,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,DHA-MIS,DHA,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,DHA-MIS,DHA,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,DHA-MIS,DHA,18 month survival all ages,Electronic,Central ,Y,ART,4,?,NULL
139,DHA-MIS,DHA,1st follow-up visit,Electronic,Central ,Y,ART,4,?,NULL
140,DHA-MIS,DHA,1st month of quarter,Electronic,Central ,Y,ART,4,?,NULL
141,DHA-MIS,DHA,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,DHA-MIS,DHA,24 month survival all ages,Electronic,Central ,Y,ART,4,?,NULL
143,DHA-MIS,DHA,24 month survival children,Electronic,Central ,Y,ART,46,?,NULL
144,DHA-MIS,DHA,24-72hrs,Electronic,Central ,Y,ART,4,?,NULL
145,DHA-MIS,DHA,2nd  follow-up visit,Electronic,Central ,Y,ART,4,?,NULL
146,DHA-MIS,DHA,2nd month of quarter,Electronic,Central ,Y,ART,4,?,NULL
147,DHA-MIS,DHA,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,DHA-MIS,DHA,"3 chairs, table, testing surface",Electronic,Central ,Y,OTHER,7,?,NULL
149,DHA-MIS,DHA,36 month survival all ages,Electronic,Central ,Y,ART,4,?,NULL
150,DHA-MIS,DHA,36 month survival children,Electronic,Central ,Y,ART,46,?,NULL
151,DHA-MIS,DHA,36 month survival OptionB+,Electronic,Central ,Y,ART,46,?,NULL
152,DHA-MIS,DHA,3rd month of quarter,Electronic,Central ,Y,ART,4,?,NULL
153,DHA-MIS,DHA,3TC,Electronic,Central ,Y,ART,4,?,NULL
154,DHA-MIS,DHA,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,DHA-MIS,DHA,48 month survival all ages,Electronic,Central ,Y,ART,4,?,NULL
156,DHA-MIS,DHA,48 month survival children,Electronic,Central ,Y,ART,46,?,NULL
157,DHA-MIS,DHA,48 month survival OptionB+,Electronic,Central ,Y,ART,46,?,NULL
158,DHA-MIS,DHA,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,DHA-MIS,DHA,5-9 days,Electronic,Central ,Y,ART,4,?,NULL
160,DHA-MIS,DHA,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,DHA-MIS,DHA,6 month survival all ages,Electronic,Central ,Y,ART,4,?,NULL
162,DHA-MIS,DHA,6 month survival children,Electronic,Central ,Y,ART,46,?,NULL
163,DHA-MIS,DHA,60 month survival all ages,Electronic,Central ,Y,ART,4,?,NULL
164,DHA-MIS,DHA,60 month survival children,Electronic,Central ,Y,ART,4,?,NULL
165,DHA-MIS,DHA,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,DHA-MIS,DHA,72 month survival all ages,Electronic,Central ,Y,ART,4,?,NULL
167,DHA-MIS,DHA,72 month survival children,Electronic,Central ,Y,ART,46,?,NULL
168,DHA-MIS,DHA,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,DHA-MIS,DHA,84 month survival all ages,Electronic,Central ,Y,ART,4,?,NULL
170,DHA-MIS,DHA,84 month survival children,Electronic,Central ,Y,ART,46,?,NULL
171,DHA-MIS,DHA,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172,DHA-MIS,DHA,96 month survival all ages,Electronic,Central ,Y,ART,4,?,NULL
173,DHA-MIS,DHA,96 month survival children,Electronic,Central ,Y,ART,46,?,NULL
174,DHA-MIS,DHA,ABC,Electronic,Central ,Y,ART,146,Y,NULL
175,DHA-MIS,DHA,ABC / 3TC,Electronic,Central ,Y,ART,146,Y,NULL
176,DHA-MIS,DHA,Aciclovir,Electronic,Central ,Y,ART,146,Y,NULL
177,DHA-MIS,DHA,Adherence recorded,Electronic,Central ,Y,ART,4,N,NULL
178,DHA-MIS,DHA,Adherence unknown (not recorded),Electronic,Central ,Y,ART,4,N,NULL
179,DHA-MIS,DHA,Ad-hoc allocation from warehouse,Electronic,Central ,Y,ART,4,?,NULL
180,DHA-MIS,DHA,Admissions in the reporting period,Electronic,Central ,Y,ART,4,Y,NULL
181,DHA-MIS,DHA,Adult / paed formulation,Electronic,Central ,Y,ART,146,Y,NULL
182,DHA-MIS,DHA,Adult formulation,Electronic,Central ,Y,ART,146,Y,NULL
183,DHA-MIS,DHA,Adult formulation drug,Electronic,Central ,Y,ART,146,Y,NULL
184,DHA-MIS,DHA,Adult second line,Electronic,Central ,Y,ART,146,Y,NULL
185,DHA-MIS,DHA,Adults 15+ years,Electronic,Central ,Y,ART,4,Y,NULL
186,DHA-MIS,DHA,Adults 15+ yrs,Electronic,Central ,Y,ART,4,Y,NULL
187,DHA-MIS,DHA,AEHO Assitant Environmental Health Officer,Electronic,Central ,Y,OTHER,8,Y,NULL
188,DHA-MIS,DHA,After 72hrs,Electronic,Central ,Y,ART,4,?,NULL
189,DHA-MIS,DHA,After 9 days,Electronic,Central ,Y,ART,4,?,NULL
190,DHA-MIS,DHA,Age,Electronic,Central ,Y,DEMO,4,Y,NULL
191,DHA-MIS,DHA,Age 12 months,Electronic,Central ,Y,DEMO,4,?,NULL
192,DHA-MIS,DHA,Age 2 months,Electronic,Central ,Y,DEMO,4,?,NULL
193,DHA-MIS,DHA,Age 24 months,Electronic,Central ,Y,DEMO,4,?,NULL
194,DHA-MIS,DHA,Age at ART initiation,Electronic,Central ,Y,DEMO,4,?,NULL
195,DHA-MIS,DHA,Age at registration,Electronic,Central ,Y,DEMO,4,?,NULL
196,DHA-MIS,DHA,Age cohorts (birth month),Electronic,Central ,Y,DEMO,4,?,NULL
197,DHA-MIS,DHA,Age group,Electronic,Central ,Y,DEMO,4,?,NULL
198,DHA-MIS,DHA,Age group A (0-19 years),Electronic,Central ,Y,DEMO,4,?,NULL
199,DHA-MIS,DHA,Age group A (less than 1month),Electronic,Central ,Y,DEMO,4,?,NULL
200,DHA-MIS,DHA,Age group B (1month -14yrs),Electronic,Central ,Y,DEMO,4,?,NULL
201,DHA-MIS,DHA,Age group B (20-24 years),Electronic,Central ,Y,DEMO,4,?,NULL
202,DHA-MIS,DHA,Age group C ( 15-24yrs),Electronic,Central ,Y,DEMO,4,?,NULL
203,DHA-MIS,DHA,Age group C (25+ years),Electronic,Central ,Y,DEMO,4,?,NULL
204,DHA-MIS,DHA,Age group D ( 25yrs and over),Electronic,Central ,Y,DEMO,4,?,NULL
205,DHA-MIS,DHA,Albendazole,Electronic,Central ,Y,ART,14,Y,NULL
206,DHA-MIS,DHA,Alive HIV exposed,Electronic,Central ,Y,PMTCT,6,Y,NULL
207,DHA-MIS,DHA,Alive HIV exposed AZT,Electronic,Central ,Y,PMTCT,6,Y,NULL
208,DHA-MIS,DHA,Alive HIV exposed no ARV,Electronic,Central ,Y,PMTCT,6,Y,NULL
209,DHA-MIS,DHA,Alive HIV exposed NVP,Electronic,Central ,Y,PMTCT,6,Y,NULL
210,DHA-MIS,DHA,Alive HIV exposed NVP+AZT,Electronic,Central ,Y,PMTCT,6,Y,NULL
211,DHA-MIS,DHA,Alive HIV exposure unknown,Electronic,Central ,Y,PMTCT,6,Y,NULL
212,DHA-MIS,DHA,Alive not HIV exposed,Electronic,Central ,Y,PMTCT,6,Y,NULL
213,DHA-MIS,DHA,All patients (checked data),Electronic,Central ,Y,ART,4,N,NULL
214,DHA-MIS,DHA,All patients (unchecked data),Electronic,Central ,Y,ART,4,N,NULL
215,DHA-MIS,DHA,Already on ART,Electronic,Central ,Y,ART,4,Y,NULL
216,DHA-MIS,DHA,Already on ART (TB prog),Electronic,Central ,Y,ART,4,Y,NULL
217,DHA-MIS,DHA,Alternative first line unspecified,Electronic,Central ,Y,ART,146,Y,NULL
218,DHA-MIS,DHA,Amitriptylline,Electronic,Central ,Y,ART,14,Y,NULL
219,DHA-MIS,DHA,Amoxicillin / Clavulanic acid,Electronic,Central ,Y,ART,14,Y,NULL
220,DHA-MIS,DHA,ANC,Electronic,Central ,N,SYSATTR,NULL,Y,NULL
221,DHA-MIS,DHA,ANC / Mat services at this site,Electronic,Central ,Y,PMTCT,6,Y,NULL
222,DHA-MIS,DHA,ANC booking cohort  - 3rd month,Electronic,Central ,Y,PMTCT,6,?,NULL
223,DHA-MIS,DHA,ANC booking cohort - 1st month,Electronic,Central ,Y,PMTCT,6,?,NULL
224,DHA-MIS,DHA,ANC booking cohort - 2nd month,Electronic,Central ,Y,PMTCT,6,?,NULL
225,DHA-MIS,DHA,ANC clinic register,Electronic,Central ,Y,PMTCT,6,?,NULL
226,DHA-MIS,DHA,ANC cohort analysis,Electronic,Central ,Y,PMTCT,6,?,NULL
227,DHA-MIS,DHA,ANC cohort reports for all 3 months,Electronic,Central ,Y,PMTCT,6,?,NULL
228,DHA-MIS,DHA,ANC new registration - 1st month,Electronic,Central ,Y,PMTCT,6,?,NULL
229,DHA-MIS,DHA,ANC new registration - 2nd month,Electronic,Central ,Y,PMTCT,6,?,NULL
230,DHA-MIS,DHA,ANC new registration - 3rd month,Electronic,Central ,Y,PMTCT,6,?,NULL
231,DHA-MIS,DHA,ANC new registration report ver1,Electronic,Central ,Y,PMTCT,6,?,NULL
232,DHA-MIS,DHA,ANC Program,Electronic,Central ,Y,PMTCT,6,Y,NULL
233,DHA-MIS,DHA,ANC register correctly filled,Electronic,Central ,Y,PMTCT,6,N,NULL
234,DHA-MIS,DHA,ANC report check sums,Electronic,Central ,Y,PMTCT,6,N,NULL
235,DHA-MIS,DHA,ANC report ver4,Electronic,Central ,Y,PMTCT,6,?,NULL
236,DHA-MIS,DHA,ANC services report,Electronic,Central ,Y,PMTCT,6,?,NULL
237,DHA-MIS,DHA,ANC women after 6 months,Electronic,Central ,Y,PMTCT,6,Y,NULL
238,DHA-MIS,DHA,ANCNewRegArteli,Electronic,Central ,Y,PMTCT,6,?,NULL
239,DHA-MIS,DHA,ANCNewRegHiv,Electronic,Central ,Y,PMTCT,6,?,NULL
240,DHA-MIS,DHA,ANCNewRegTrim,Electronic,Central ,Y,PMTCT,6,?,NULL
241,DHA-MIS,DHA,ANCOutcArteli,Electronic,Central ,Y,PMTCT,6,?,NULL
242,DHA-MIS,DHA,ANCOutcCpt,Electronic,Central ,Y,PMTCT,6,?,NULL
243,DHA-MIS,DHA,ANCOutcEcl,Electronic,Central ,Y,PMTCT,6,?,NULL
244,DHA-MIS,DHA,ANCOutcFefo,Electronic,Central ,Y,PMTCT,6,?,NULL
245,DHA-MIS,DHA,ANCOutcHiv,Electronic,Central ,Y,PMTCT,6,?,NULL
246,DHA-MIS,DHA,ANCOutcPtBaby,Electronic,Central ,Y,PMTCT,6,?,NULL
247,DHA-MIS,DHA,ANCOutcPtMoth,Electronic,Central ,Y,PMTCT,6,?,NULL
248,DHA-MIS,DHA,ANCOutcSp,Electronic,Central ,Y,PMTCT,6,?,NULL
249,DHA-MIS,DHA,ANCOutcSyp,Electronic,Central ,Y,PMTCT,6,?,NULL
250,DHA-MIS,DHA,ANCOutcTrim,Electronic,Central ,Y,PMTCT,6,?,NULL
251,DHA-MIS,DHA,ANCOutcTtv,Electronic,Central ,Y,PMTCT,6,?,NULL
252,DHA-MIS,DHA,ANCOutcVis,Electronic,Central ,Y,PMTCT,6,?,NULL
253,DHA-MIS,DHA,Antenatal Care,Electronic,Central ,Y,PMTCT,6,?,NULL
254,DHA-MIS,DHA,Anti-malarials,Electronic,Central ,Y,MALARIA,NULL,N,NULL
255,DHA-MIS,DHA,Antiseptic / decontamination solution available,Electronic,Central ,Y,OTHER,7,NULL,NULL
256,DHA-MIS,DHA,Antiseptic solution made up according to SOP,Electronic,Central ,Y,OTHER,7,NULL,NULL
257,DHA-MIS,DHA,Any AE,Electronic,Central ,Y,?,NULL,?,NULL
258,DHA-MIS,DHA,Any ANC women not tested last month,Electronic,Central ,Y,PMTCT,26,?,NULL
259,DHA-MIS,DHA,Any ARVs,Electronic,Central ,Y,ART,4,?,NULL
260,DHA-MIS,DHA,Army,Electronic,Central ,N,SYSATTR,NULL,Y,NULL
261,DHA-MIS,DHA,ART,Electronic,Central ,N,SYSATTR,NULL,Y,NULL
262,DHA-MIS,DHA,ART - Cumul cohort report (reg details) complete,Electronic,Central ,Y,ART,48,N,NULL
263,DHA-MIS,DHA,ART - Occupation recorded,Electronic,Central ,Y,ART,48,N,NULL
264,DHA-MIS,DHA,"ART - Outcomes complete, updated, dates specified",Electronic,Central ,Y,ART,48,N,NULL
265,DHA-MIS,DHA,ART - PMTCT recorded,Electronic,Central ,Y,ART,48,N,NULL
266,DHA-MIS,DHA,ART - Registration continuous,Electronic,Central ,Y,ART,48,N,NULL
267,DHA-MIS,DHA,ART - RegNo's correct for transfers in,Electronic,Central ,Y,ART,48,N,NULL
268,DHA-MIS,DHA,ART - TB recorded,Electronic,Central ,Y,ART,48,N,NULL
269,DHA-MIS,DHA,ART - Visit columns complete,Electronic,Central ,Y,ART,48,N,NULL
270,DHA-MIS,DHA,ART (by time of initiation),Electronic,Central ,Y,ART,4,?,NULL
271,DHA-MIS,DHA,ART (for assessment),Electronic,Central ,Y,ART,4,?,NULL
272,DHA-MIS,DHA,ART 0-3 weeks,Electronic,Central ,Y,ART,4,?,NULL
273,DHA-MIS,DHA,ART 4+ weeks,Electronic,Central ,Y,ART,4,?,NULL
274,DHA-MIS,DHA,ART clinic days per week,Electronic,Central ,Y,ART,48,?,NULL
275,DHA-MIS,DHA,ART clinic logistics,Electronic,Central ,Y,ART,48,?,NULL
276,DHA-MIS,DHA,ART clinic registrations,Electronic,Central ,Y,ART,4,?,NULL
277,DHA-MIS,DHA,ART cohort analysis,Electronic,Central ,Y,ART,4,?,NULL
278,DHA-MIS,DHA,ART cohort registration group outcomes,Electronic,Central ,Y,ART,4,?,NULL
279,DHA-MIS,DHA,ART eligibility determined,Electronic,Central ,Y,ART,4,?,NULL
280,DHA-MIS,DHA,ART follow-up days,Electronic,Central ,Y,ART,4,?,NULL
281,DHA-MIS,DHA,ART init and contin direct at ANC/MCH,Electronic,Central ,Y,ART,4,?,NULL
282,DHA-MIS,DHA,ART initiation days,Electronic,Central ,Y,ART,4,?,NULL
283,DHA-MIS,DHA,ART initiations after recent TB (ART prog),Electronic,Central ,Y,ART,4,?,NULL
284,DHA-MIS,DHA,ART initiations with current TB (ART prog),Electronic,Central ,Y,ART,4,?,NULL
285,DHA-MIS,DHA,ART outcomes cumulative,Electronic,Central ,Y,ART,4,?,NULL
286,DHA-MIS,DHA,ART pat. card adult (yellow),Electronic,Central ,Y,?,4,?,NULL
287,DHA-MIS,DHA,ART pat. card paed. (blue),Electronic,Central ,Y,?,4,?,NULL
288,DHA-MIS,DHA,ART patients in transit between sites,Electronic,Central ,Y,ART,4,?,NULL
289,DHA-MIS,DHA,ART patients walking,Electronic,Central ,Y,ART,4,?,NULL
290,DHA-MIS,DHA,ART patients working,Electronic,Central ,Y,ART,4,?,NULL
291,DHA-MIS,DHA,ART program,Electronic,Central ,Y,ART,4,?,NULL
292,DHA-MIS,DHA,ART register,Electronic,Central ,Y,ART,4,?,NULL
293,DHA-MIS,DHA,ART registration data cumulative,Electronic,Central ,Y,ART,4,?,NULL
