name,description
All other communicable diseases - admission,
All other communicable diseases - inpatient death,
All other communicable diseases - new,
All other non-communicable diseases - new,
All other positions,
All other surgical conditions - admission,
All other surgical conditions - inpatient death,
All other surgical conditions - new,
AM Number of asset losses (including thefts) ,
AM Number of assets acquired,
AM Number of Assets donations received,
AM Number of assets mantained,
AM Num of assets reportedly in need of mantainance,
AM Total cost of all asset repairs incurred,
AM Total estimated value of all assets losses,
AM Tot. Estimated Value of Assets received (purchases and donations),
Anaemia - admission,
Anaemia - inpatient death,
Anaemia - new,
ANC ART Status 1st visit not on ART,
ANC ART Status 1st visit On ART before ANC,
ANC ART Status 1st visit Start ART 0-27 wks,
ANC ART Status 1st visit Start ART 28+ wks,
ANC HIV Status 1st visit new -ve,
ANC HIV Status 1st visit new +ve,
ANC HIV Status 1st visit not done,
ANC HIV Status 1st visit prev -ve,
ANC HIV Status 1st visit prev +ve,
ANC HIV test result new -ve,
ANC HIV test result new +ve,
ANC HIV test result not done,
ANC HIV test result prev -ve,
ANC HIV test result prev +ve,
ANC New women registered,
ANC Not on ART,
ANC On ART before ANC,
ANC Pre-eclamsia yes,
ANC Received 2+ TTV doses,
ANC Received FeFo 120+ tabs,
ANC Recieved 0 SP doses,
ANC Recieved 1x3 SP tabs,
ANC Recieved 2x3 SP tabs,
ANC Recieved Albendazole 1 dose,
ANC Recieved ITN,
ANC Recieved NVP,
ANC Started 1 visits in wk 0-12,
ANC Syphilis status Unknown,
ANC Syphilis status -ve,
ANC Syphilis status +ve,
ANC Total with 1 visit,
ANC Total with 2 visits,
ANC Total with 3 visits,
ANC Total with 4 visits,
ANC Total with 5+  visits,
ANC Tot started ART 28+ wks,
ANC Tot.started ART at 0-27 wks ,
ANC Women on CPT,
a) Of those assessed # with severe undernutrition-ANC/PMTC,
a) Of those assessed # with severe undernutrition- OPD,
a) Of those assessed # with severe undernutrition-Other,
a) Of those assessed # with severe undernutrition-Pre-ART/ART,
a) Of those assessed # with severe undernutrition-TB,
ART Adherence - 0 – 6 doses missed ,
ART Adherence - 7+ doses missed ,
ART Adherence - Unknown,
ART Adults 15 years or older at ART initiation ,
ART Adults 15 years or older at enrolment ,
ART ANC,
ART ARV supply hub site,
ART Blood collection,
ART Breastfeeding mothers ,
ART CD4 below threshold ,
ART CD4 count (on site),
ART Children 12-23 months,
ART Children 24 m - 14 yrs at ART initiation ,
ART Children 24 months - 14 yrs at enrolm,
ART Children 2 - below 24 months at enrolm,
ART Children below 24 m at ART initiation ,
ART Cohort 108 month survival all ages,
ART Cohort 120 month survival all ages,
ART Cohort 12 month survival all ages,
ART Cohort 12 month survival children,
ART Cohort 12 month survival OptionB+,
ART Cohort 24 month survival all ages,
ART Cohort 24 month survival OptionB+,
ART Cohort 36 month survival all ages,
ART Cohort 48 month survival all ages,
ART Cohort 60 month survival all ages,
ART Cohort 6 month survival OptionB+,
ART Cohort 72 month survival all ages,
ART Cohort 84 month survival all ages,
ART Cohort 96 month survival all ages,
ART Confirmed infected patients ,
ART Current episode of TB ,
ART Defaulted,
ART Defaulted (pre-ART),
ART Died after the end of the 3rd month after ART initiation ,
ART Died (pre-ART),
ART Died total ,
ART Died within the 1st month after ART initiation ,
ART Died within the 2nd month after ART initiation ,
ART Died within the 3rd month after ART initiation ,
"ART End time 	",
ART Exposed infants ,
ART First ART patient reg,
ART FP,
ART HCC Males (all ages),
ART HCC Non-pregnant Females ,
ART HCC Pregnant Females,
ART HCC total registered,
"ART HIV exp child fup 	",
ART Infants <12 mths PCR+ ,
ART Infants below 2 months at enrolment,
ART KS Kaposi’s Sarcoma,
ART Males,
ART Maternity,
ART Never TB or TB over 2 years ago ,
ART New Action points for CLINIC TEAM ,
ART New Action points for SUPERVISION TEAM,
ART Non-pregnant Females,
ART Patients alive on ART currently on CPT ,
ART Patients enrolled first time ,
ART  Patients initiated on ART first time ,
ART Patients re-enrolled ,
ART Patients re-initiated on ART ,
ART Patients retained in pre-ART currently on CPT,
ART Patients retained in pre-ART currently on IPT,
ART Patients transferred in ,
ART Patients transferred in on ART ,
ART Pregnant Females,
ART Pregnant women ,
ART Pres. Sev. HIV disease age <12 m ,
ART Regimens - Other (paed. / adult),
ART Regimens - Regimen 1A,
ART Regimens - Regimen 1P ,
ART Regimens - Regimen 2A,
ART Regimens - Regimen 2P ,
ART Regimens - Regimen 3A,
ART Regimens - Regimen 3P ,
ART Regimens - Regimen 4A,
ART Regimens - Regimen 4P,
ART Regimens - Regimen 5A,
ART Regimens - Regimen 6A,
ART Regimens - Regimen 7A,
ART Regimens - Regimen 8A,
ART Regimens - Regimen 9P,
ART Side effects -Any side effects  ,
ART Side effects -None ,
ART Side effects - Unknown,
ART Started ART ,
"ART Start time 	",
ART STI treat,
ART Stopped taking ARVs  ,
ART TB reg(Initiation),
ART TB status - Conf. not on Rx ,
ART TB status - Conf. on TB Rx ,
ART TB status -Not suspected ,
ART TB status -Suspected ,
ART TB status - Unknown,
ART TB within the last 2 years ,
"ART TLC <1,200/mm3 ",
ART Total alive and on ART,
ART Total persons given PEP in last quarter ,
ART Total registered,
ART Total retained alive in pre-ART follow-up ,
ART Transferred Out ,
ART Transferred out (pre-ART),
"ART Transfusion 	",
ART Unknown / reason outside guidelines  ,
ART Visit date,
ART WHO stage 3 ,
ART WHO stage 4,
ART Women received Depo at ART in the last quarter ,
ART Women received Depo at pre-ART in the last quarter ,
Asthma - admission,
Asthma - inpatient death,
Asthma - new,
Bilharzia - admission,
Bilharzia - inpatient death,
b) of those assessed # with Moderate Undernutrition- ANC/PMTC,
b) of those assessed # with Moderate Undernutrition- OPD,
b) of those assessed # with Moderate Undernutrition- Other,
b) of those assessed # with Moderate Undernutrition- Pre-ART/ART ,
b) of those assessed # with Moderate Undernutrition- TB,
Cancer-district hospital,
cancer-flipchart,
Cancer-health centre,
cancer-leaflets,
cancer-none,
cancer-# of community meetings/commemoration days,
cancer-# of film shows,
cancer-# of interactive drama sessions,
cancer-# of road shows,
Cancer-other,
cancer-posters,
Cancer-rural/comm hosp,
Cancer-total# provided in this quarter,
cancer-TV/DVDs,
Cataract - admission,
Cataract - inpatient death,
Cataract - new,
CBD Client Age<18,
CBD Client Age 19-25,
CBD Client Age 26-35,
CBD Client Age 36-49,
CBD Clients Changing Methods,
CBD Continuing Clients,
CBD DEPO,
CBD Health Education Messages F,
CBD Health Education Messages M,
CBD Implants,
CBD Implants Implanon,
CBD Implants Jadelle,
CBD Loop,
CBD Losses/ Adjustment -ve,
CBD Losses/ Adjustment +ve,
CBD New Clients,
CBD New quantity on hand,
CBD Physical Examinations,
CBD Quantity Dispensed,
CBD Quantity Issued ,
CBD Quantity on Hand,
CBD Returning Clients,
CBD Side Effects,
CBD Tubal Ligation,
CBMNC # of 1st home visits to mother/newborns within 3 days of delivery,CBMNC # of 1st home visits to mother/newborns within 3 days of delivery
CBMNC # of 1st home visits to pregnant women conducted this month,CBMNC # of 1st home visits to pregnant women conducted this month
CBMNC # of home visits to mothers/newborns within 1 week of delivery,CBMNC # of home visits to mother/newborns within first week of delivery
CBMNC # of newborns with 1 or more danger signs referred to health facility,CBMNC # of newborns with 1 or more danger signs referred to health facility
CBMNC # of pregnant women with 1 or more danger signs referred to health facility,CBMNC # of pregnant women with 1 or more danger signs referred to health facility
CBMNC # of reporting health centres,CBMNC Number of reporting health centers in the district
CBMNC # of second home visits to pregnant women conducted this month,Number of second home visits to pregnant women conducted this month
CBMNC # of women with one or more danger sign referred to health facility after delivery,CBMNC # of women with one or more danger sign referred to health facility after delivery
CBMNH HF catchment population,
CBMNH # HSAs reporting this month,
CBMNH # HSAs trained in CBMNC,
CBMNH # of babies identified as LBW (<2500g) by HSA within 8 days of delivery,
CBMNH # of births (home or facility) registered by HSAs this month,
CBMNH # of completed pregnancies this month,
CBMNH # of early neonatal deaths (0-7 days after birth) occurred in the community,
CBMNH # of eligible LBW (between 2000g and 2500g) initiating community KMC,
CBMNH # of home deliveries registered by HSAs this month,
CBMNH # of LBW newborns who are referred for extra care,
CBMNH # of live births delivered at home registered by HSAs this month,
CBMNH # of live births (home or facility) registered by HSAs this month,
CBMNH # of newborns born at home who receive a home visit by an HSA within 24 hours of delivery,
CBMNH # of newborns who receive at least 1 home visit from an HSA within 3 days of delivery,
CBMNH # of newborns who receive at least 2 home visits from an HSA within 8 days of delivery,
CBMNH # of newborns with at least one danger sign referred by an HSA to a health facility,
CBMNH # of new pregnancies registered this month,
CBMNH # of pregnant women who have a complete birth plan by the end of third trimester,
CBMNH # of pregnant women who receive at least one home visit by an HSA,
CBMNH # of pregnant women with at least one danger sign referred by an HSA to a health facility,
CBMNH # of women who delivered at home who received postnatal home visit within 24 hrs of delivery by a H.S.A,
CBMNH # of women who died during delivery and within 8 days of delivery,
CBMNH # of women who died during pregnancy,
CBMNH # of women who receive at least 1 postnatal home visit by an HSA within 3 days of delivery,
CBMNH # of women who receive at least 2 postnatal home visits by an HSA within 8 days of delivery,
CC-1 year follow up <30,
CC-1 year follow up 30-45,
CC-1 year follow up >45,
CC-1 year follow up HIV-,
CC-1 year follow up HIV+,
cc-1 year follow up unknown,
CC-1 year follow up  VIA - <30,
CC-1 year follow up  VIA + <30,
CC-1 year follow up  VIA - 30-45,
CC-1 year follow up  VIA +30-45,
CC-1 year follow up  VIA - >45,
CC-1 year follow up  VIA + >45,
CC-1 year follow up  VIA - HIV-,
CC-1 year follow up  VIA - HIV+,
CC-1 year follow up  VIA + HIV-,
CC-1 year follow up  VIA + HIV+,
CC-1 year follow up  VIA - unknown,
CC-1 year follow up  VIA + unknown,
CC-3 months review <30,
CC-3 months review 30-45,
CC-3 months review >45,
CC-3 months review HIV-,
CC-3 months review HIV+,
CC-3 months review unknown,
CC-Immediate Cryo done <30,
CC-Immediate Cryo done 30-45,
CC-Immediate Cryo done >45,
CC-Immediate Cryo done HIV-,
CC-Immediate Cryo done HIV+,
CC-Immediate Cryo done unknown,
CC-Initial VIA+ <30,
CC-Initial VIA 30-45,
CC-Initial VIA- 30-45,
CC-Initial VIA+ 30-45,
CC-Initial VIA >45,
CC-Initial VIA- >45,
CC-Initial VIA+ >45,
CC-Initial VIA HIV -,
CC-Initial VIA HIV +,
CC-Initial VIA- HIV -,
CC-Initial VIA- HIV +,
CC-Initial VIA+ HIV -,
CC-Initial VIA+ HIV +,
CC-Initial VIA HIV <30,
CC-Initial VIA- HIV <30,
CC-Initial VIA HIV unknown,
CC-Initial VIA- unknown,
CC-Initial VIA+ unknown,
CC-Postponed Cryo <30,
CC-Postponed Cryo 30-45,
CC-Postponed Cryo >45,
CC-Postponed Cryo done <30,
CC-Postponed Cryo done 30-45,
CC-Postponed Cryo done >45,
CC-Postponed Cryo done HIV-,
CC-Postponed Cryo done HIV+,
CC-Postponed Cryo done unknown,
CC-Postponed Cryo HIV-,
CC-Postponed Cryo HIV+,
CC-Postponed Cryo not done <30,
CC-Postponed Cryo not done 30-45,
CC-Postponed Cryo not done >45,
CC-Postponed Cryo not done HIV-,
CC-Postponed Cryo not done HIV+,
CC-Postponed Cryo not done unknown,
CC-Postponed Cryo Unknown,
CC-Problem visit <30,
CC-Problem visit 30-45,
CC-Problem visit >45,
CC-Problem visit HIV-,
CC-Problem visit HIV+,
CC-Problem visit unknown,
CC-Referral >45,
CC-Referral large lesion <30,
CC-Referral large lesion 30-45,
CC-Referral large lesion >45,
CC-Referral large lesion HIV-,
CC-Referral large lesion HIV+,
CC-Referral large lesion unknown,
CC-Referral other gyn <30,
CC-Referral other gyn 30-45,
CC-Referral Other gyn >45,
CC-Referral other gyn HIV-,
CC-Referral other gyn HIV+,
CC-Referral other gyn unknown,
CC-Referral suspect cancer <30,
CC-Referral suspect cancer 30-45,
CC-Referral suspect cancer >45,
CC-Referral suspect cancer HIV-,
CC-Referral suspect cancer HIV+,
CC-Referral suspect cancer unknown,
Chicken pox - admission,
Chicken pox - inpatient death,
Chicken pox - new,
Cholera - admission,
Cholera under 5 years - admission,
Cholera under 5 years - inpatient death,
Cholera under 5 years - new,
Chronic Psychiatric disorder - admission,
Chronic Psychiatric disorder - inpatient death,
Chronic Psychiatric disorder - new,
Clinical officers in post,
c) of those assessed # with Normal Nutritional Status- ANC/PMTC,
c) of those assessed # with Normal Nutritional Status- OPD,
c) of those assessed # with Normal Nutritional Status- Other,
c) of those assessed # with Normal Nutritional Status- Pre-ART/ART,
c) of those assessed # with Normal Nutritional Status- TB,
Comm Nurses in posts,
CS Air way / Breathing,
CSB++-deliveries received in the month,
CSB/Likuni Phala-deliveries received in the month,
CSB/Likuni Phala-packaging and unit,
CSB/Likuni Phala-Quantity distributed to beneficiaries,
CSB/Likuni Phala-Quantity lost,
CSB/Likuni Phala-Quantity used for cooking demonstration,
CSB/Likuni Phala-request for the following month,
CSB/Likuni Phala-stock on the first day of the month,
CSB/Likuni Phala-stock on the last day of the month,
CSB++-packaging and units,
CSB++-Quantity distributed to beneficiaries,
CSB++-Quantity lost,
CSB++-Quantity used for cooking demonstration,
CSB++-request for the following month,
CSB++-stock on the first day of the month,
CSB++-stock on the last day of the month,
CS Coma,
CS Convulsions,
CS Diarrhoea,
CS Diarrhoea Admissions,
CS Malaria,
CS Malaria Admissions,
CS Malnutrition,
CS Malnutrition Admissions,
CS Meningitis,
CS Meningitis Admissions,
CS Neonatal Sepsis Admissions,
CS N/Sepsis,
CS Others,
CS Others Admissions,
CS Pneumonia,
CS Pneumonia Admissions,
CS Proportion of deaths within 24 hours,
CS severe dehydration,
CS Shock,
Cumulative actual expenditure per sub-programme to date,
Cumulative drug budget,
Cumulative drug expenditure,
Delivery by trained TBA,
Dental decay - admission,
Dental decay - inpatient death,
Dental decay - new,
Dental Surgeon,
Dermatologist,
diabetes -district hospital,
diabetes-district hospital,
diabetes-flipchart,
diabetes -health centre,
diabetes-health centre,
diabetes -health post,
diabetes-health post,
diabetes-none,
diabetes-# of community meetings/commemoration days,
diabetes-# of film shows,
diabetes-# of interactive drama sessions,
diabetes-# of road shows,
diabetes -other,
diabetes-other,
diabetes-posters,
diabetes -rural/comm hosp,
diabetes-rural/comm hosp,
diabetes -total provided in this quarter,
diabetes-total provided in this quarter,
diabetes-TV/DVDs,
Diarrhoea diseases (non-bloody) admission,
Diarrhoea diseases (non-bloody) - Inpatient death,
Diarrhoea diseases (non-bloody) under 5 years - admission,
Diarrhoea non-bloody 5 years and older - new,
Diphtheria - admission,
Diphtheria - inpatient death,
Diphtheria - new,
disability and mental illness -district hospital,
disability and mental illnesses-district hospital,
disability and mental illnesses-flipchart,
disability and mental illnesses-health centre,
disability and mental illnesses-health post,
disability and mental illnesses-leaflets,
disability and mental illnesses-none,
disability and mental illnesses-# of community meetings/commemoration days,
disability and mental illnesses-# of film shows,
disability and mental illnesses-# of interactive drama sessions,
disability and mental illnesses-# of road shows,
disability and mental illnesses-other,
disability and mental illnesses-posters,
disability and mental illnesses-rural/comm hosp,
disability and mental illnesses-total provided in this quarter,
disability and mental illnesses-TV/DVDs,
disability and mental illness -health centre,
disability and mental illness -health post,
disability and mental illness -other,
disability and mental illness -rural/comm hosp,
disability and mental illness -total# provided in this quarter,
Doctors in posts,
d) Of those assessed # with Overweight/Obese - ANC/PMTC,
d) Of those assessed # with Overweight/Obese - OPD,
d) Of those assessed # with Overweight/Obese - Other,
d) Of those assessed # with Overweight/Obese - Pre- ART/ART,
d) Of those assessed # with Overweight/Obese - TB,
DT Abscess,
DT Burkitts Lymphoma,
DT Cancrum Oris - Noma,
DT Cellulitis,
DT Cleft Palate & Lip,
DT Crowns and Bridges,
DT Gingival Epulis,
DT Ludwigs Angina,
DT Number of Dental Caries cases,
DT Number of periodontal cases,
DT Number of tooth extractions,
DT Number of tooth feelings,
DT Orthodontics,
DT Other Dental Conditions,
DT Parotitis,
DT Patients Referred In,
DT Patients Referred Out,
DT Scaling / polishing,
DT TB Adenitis,
DT Tonsilitis,
DT Total Number of patients admitted,
DT Total Number of patients seen,
DT Trauma cases - avulsion,
DT Trauma cases hard tissue,
DT Trauma cases - maxilla,
DT Trauma cases soft tissue,
DT Trauma cases - teeth,
Dysentery - admission,
Dysentery under 5 years - admission,
 Dysentery under 5 years - inpatient death,
Ear infection - admission,
Ear infection - inpatient death,
Ebola - admission,
Ebola - inpatient death,
EC Confirmed infected,
EC Confirmed uninfected,
EC Continue follow-up,
EC Defaulted,
EC Died,
EC Discharged uninfected,
"EC Not confirmed, PSHD àART",
"EC Not conf., not eligible for ART",
EC Not on CPT,
EC On CPT,
EC Started ART,
EC Total registered in birth cohort,
EC Transferred Out,
EH Air Pollution Households with Satisfactory Measures,
EH Air Pollution Number of Households,
EH Attack Rate,
EH Boreholes in District,
EH Boreholes tested for faeco contamination,
EH Boreholes tested negative,
EH Case Fatality Rate,
EH Cases in Outbreak,
EH Deaths,
EH Disasters Occurred,
EH Disasters Responded Timely,
EH Environmental Health Hazard,
EH Environmental Health Hazard Assessed,
EH  Food Borne Disease Outbreak and Conditions ,
EH Food Borne Disease Outbreak and Conditions  Investigated,
EH Food Condemned,
EH Food Establishment Complying medical examination requirements ,
EH Food Handlers in District,
EH Food Handlers Routine Medical Examination,
EH Food Handlers Satisfying Medical Fitness,
EH Food Inspected,
EH Formal Food Establishments in District,
EH Formal Food Establishments Inspected,
EH Formal Food Establishments Satisfactory ,
EH Functional Coordination Committees,
EH HCWM CHAM facilities,
EH HCWM CHAM facilities Complying,
EH HCWM Health Facilities,
EH HCWM Health Facilities Complying,
EH HCWM MoH facilities,
EH HCWM MoH facilities Complying,
EH HCWM Private facilities,
EH HCWM Private facilities Complying,
EH Health Audit Projects Assessed,
EH Health Audit Projects Passed,
EH Health Audit Projects Underway,
EH Health Facilities in District,
EH Health Facilities with Adequate Sanitory Facilities,
EH HIA Projects Assessed,
EH HIA Projects Passed,
EH HIA Projects Proposed,
EH HIA Projects Proposed or Underway,
EH Household Samples Tested Coliform Negative,
EH Household Samples Tested for Coliforms,
EH Household Samples with Residual Chlorine,
EH Households in District,
EH Households Owning and Using Improved Sanitory Facilities,
EH Households Sampled,
EH Households with Functioning Handwashing Facilities with Soap,
EH Kiosks in District,
EH Kiosks Showed Presence of Chlorine,
EH Kiosks Tested for Faeco Contamination,
EH Kiosks Tested for Residial Free Chlorine,
EH Kiosks Tested Negative,
EH Markets in District,
EH Markets with Sanitory Facilities,
EH New Settlements,
EH New Settlements Assessed,
EH New Settlements Complying H&S Guidelines,
EH ODF Villages Diversifying Sanitory Technology,
EH Outbreaks Occurred,
EH Outbreaks Responded Timely and Promptly,
EH Ports Implementing All Core Capacities,
EH Ports in District,
EH Proper Wasted Management Industries,
EH Protected Shallow Wells,
EH Protected Shallow Wells Tested,
EH Protected Shallow Wells Tested Negative,
EH Protected Springs,
EH Protected Springs Tested,
EH Protected Springs Tested Negative,
EH Satisfactory Workplaces,
EHS (WASHE),
EH Villages Declared for ODF,
EH Villages Implementing Sustainable Vector Control Interventions,
EH Villages in District,
EH Villages Lost ODF Status,
EH Villages Triggered for Latrine Construction,
EH Wasted Management Industries Inspected,
EH Waste Management Improved Industries ,
EH Workplaces in District,
EH Workplaces Inspected,
EH Zoonotic Case Fatality Rate,
EH Zoonotic Cases,
EH Zoonotic Deaths,
EH Zoonotic Incidence,
Enrolled MidWife in post,
Environmental Health Officers in post,
EPI 12-59 Months Monthly Target Outreach,
EPI 12-59 Months Monthly Target Static,
EPI 12-59 Months Number of supplemented Outreach,
EPI 12-59 Months Number of supplemented Static,
EPI 6-11 Months Monthly Target Outreach,
EPI 6-11 Months Monthly Target Static,
EPI 6-11 Months Number of supplemented Outreach,
EPI 6-11 Months Number of supplemented Static,
EPI Acute Flaccid Paralysis (AFP) Number of cases,
EPI Acute Flaccid Paralysis (AFP) Number of cases investigated,
EPI Age Over 1 Fully Immunized children O/reach,
EPI Age Over 1 Fully Immunized children Static,
EPI Age Over 1 Measles O/reach,
EPI Age Over 1 Measles Static,
EPI Age Over 1 Monthly Target BCG/OPV,
EPI Age Over 1 Monthly Target DPT-HepB-Hib1/DPT-HepB-Hib2/DPT-HepB-Hib3,
EPI Age Over 1 Monthly Target Fully Immunized children,
EPI Age Over 1 Monthly Target Measles,
EPI Age Over 1 Monthly Target OPV1/OPV2/OPV3,
EPI Age Over 1 Monthly Target PCV1/PCV2/PCV3,
EPI Age Over 1 Monthly Target Protection at Birth ,
EPI Age Over 1 Monthly Target Rota,
EPI Age Over 1 PCV1 Outreach,
EPI Age Over 1 PCV2 O/reach,
EPI Age Over 1 PCV2 Static,
EPI Age Over 1 PCV3 O/reach,
EPI Age Over 1 PCV3 Static,
EPI Age Over1 Protection at Birth O/reach,
EPI Age Over1 Protection at Birth Static,
EPI Age Over1 ROTA1 O/reach,
EPI Age Over1 ROTA1 Static,
EPI Age Over1 ROTA2 O/reach,
EPI Age Over1 ROTA2 Static,
EPI Age Over PCV1 Static,
EPI Age Under 1 Fully Immunized children O/reach,
EPI Age Under 1 Fully Immunized children Static,
EPI Age Under 1 Measles O/reach,
EPI Age Under 1 Measles Static,
EPI Age Under 1 Monthly Target BCG/OPV,
EPI Age Under 1 Monthly Target DPT-HepB-Hib1/DPT-HepB-Hib2/DPT-HepB-Hib3,
EPI Age Under 1 Monthly Target Fully Immunized children,
EPI Age Under 1 Monthly Target Measles,
EPI Age Under 1 Monthly Target OPV1/OPV2/OPV3,
EPI Age Under 1 Monthly Target PCV1/PCV2/PCV3,
EPI Age Under 1 Monthly Target Protection at Birth,
EPI Age Under 1 Monthly Target Rota,
EPI Age Under 1 PCV1 O/reach,
EPI Age Under 1 PCV1 Static,
EPI Age Under 1 PCV2 O/reach,
EPI Age Under 1 PCV2 Static,
EPI Age Under 1 PCV3 O/reach,
EPI Age Under 1 PCV3 Static,
EPI Age Under1 Protection at Birth O/reach,
EPI Age Under 1 Protection at Birth Static,
EPI Age Under1 ROTA1 O/reach,
EPI Age Under1 ROTA1 Static,
EPI Age Under1 ROTA2 O/reach,
EPI Age Under1 ROTA2 Static,
EPI BCG Cases,
EPI BCG Doses Discarded (B) Outreach,
EPI BCG Doses Discarded (B) Static,
EPI BCG Doses Used (A) Outreach,
EPI BCG Doses Used (A) Static,
EPI BCG O/reach Age Over 1,
EPI BCG O/reach Age Under 1,
EPI BCG Static Age Over 1,
EPI BCG Static Age Under 1,
EPI Canceled immunization sessions (Outreach),
EPI Canceled immunization sessions (Static),
EPI DPT-HepB-Hib1 O/reach Age Over 1,
EPI DPT-HepB-Hib1 O/reach Age Under 1,
EPI DPT-HepB-Hib1 Static Age Over 1,
EPI DPT-HepB-Hib1 Static Age Under 1,
EPI DPT-HepB-Hib2 O/reach Age Over 1,
EPI DPT-HepB-Hib2 O/reach Age Under 1,
EPI DPT-HepB-Hib2 Static Age Over 1,
EPI DPT-HepB-Hib2 Static Age Under 1,
EPI DPT-HepB-Hib3 O/reach Age Over 1,
EPI DPT-HepB-Hib3 O/reach Age Under 1,
EPI DPT-HepB-Hib3 Static Age Over 1,
EPI DPT-HepB-Hib3 Static Age Under 1,
EPI DPT-HepB-Hib Cases,
EPI DPT-HepB-Hib Doses Discarded (B) Outreach,
EPI DPT-HepB-Hib Doses Discarded (B) Static,
EPI DPT-HepB-Hib Doses Used (A) Outreach,
EPI DPT-HepB-Hib Doses Used (A) Static,
Epilepsy - admission,
Epilepsy - inpatient death,
Epilepsy - new,
EPI Measles Cases,
EPI Measles Doses Discarded (B) Outreach,
EPI Measles Doses Discarded (B) Static,
EPI Measles Doses Used (A) Outreach,
EPI Measles Doses Used (A) Static,
EPI Neonatal Tetanus (NNT) Number of cases,
EPI Neonatal Tetanus (NNT) Number of cases investigated,
EPI OPV 0 O/reach Age Over 1,
EPI OPV 0 O/reach Age Under 1,
EPI OPV 0 Static Age Over 1,
