ID NUMBER,DH/DM,GOAL,ELEMENT,DECISION,SOURCE,2.02.a who is responsible for collecting,2.02.b what additional roles/jobs,2.02.c where does it go,2.02.d How is it transmitted/shared,2.02.e How often,2.02.f How do you use,2.02.g how do others use,ELEMENT DESCRIPTION,DECISION DESCRIPTION,SOURCE DESCRIPTION,Level number,Level
1006,DM,2,MAP,PROGPERFORM,PROGPERFORM,0,0,0,0,QUARTERLY,SUPERVISION,0,Map Survival Mechanism,Program Performance,Program Performance,1,Central
1006,DM,2,MAP,PROGPERFORM,PROGPERFORM,0,0,0,0,QUARTERLY,DESIGN,0,Map Survival Mechanism,Program Performance,Program Performance,1,Central
1006,DM,2,MAP,PROGPERFORM,PROGPERFORM,0,0,0,0,QUARTERLY,PRIORITIZE,0,Map Survival Mechanism,Program Performance,Program Performance,1,Central
1006,DM,2,MAP,PROGPERFORM,PROGPERFORM,0,0,0,0,QUARTERLY,LINK,0,Map Survival Mechanism,Program Performance,Program Performance,1,Central
1006,DM,2,MAP,PROGPERFORM,ANECDOTE,0,0,0,0,QUARTERLY,SUPERVISION,0,Map Survival Mechanism,Program Performance,Anecdotal Information,1,Central
1006,DM,2,MAP,PROGPERFORM,ANECDOTE,0,0,0,0,QUARTERLY,DESIGN,0,Map Survival Mechanism,Program Performance,Anecdotal Information,1,Central
1006,DM,2,MAP,PROGPERFORM,ANECDOTE,0,0,0,0,QUARTERLY,PRIORITIZE,0,Map Survival Mechanism,Program Performance,Anecdotal Information,1,Central
1006,DM,2,MAP,PROGPERFORM,ANECDOTE,0,0,0,0,QUARTERLY,LINK,0,Map Survival Mechanism,Program Performance,Anecdotal Information,1,Central
1006,DM,2,MAP,PROGPERFORM,PARTNER,0,0,0,0,QUARTERLY,SUPERVISION,0,Map Survival Mechanism,Program Performance,An organization or group that partners with the Ministry.,1,Central
1006,DM,2,MAP,PROGPERFORM,PARTNER,0,0,0,0,QUARTERLY,DESIGN,0,Map Survival Mechanism,Program Performance,An organization or group that partners with the Ministry.,1,Central
1006,DM,2,MAP,PROGPERFORM,PARTNER,0,0,0,0,QUARTERLY,PRIORITIZE,0,Map Survival Mechanism,Program Performance,An organization or group that partners with the Ministry.,1,Central
1006,DM,2,MAP,PROGPERFORM,PARTNER,0,0,0,0,QUARTERLY,LINK,0,Map Survival Mechanism,Program Performance,An organization or group that partners with the Ministry.,1,Central
1006,DM,2,MAP,PROGPERFORM,MAPPING,0,0,0,0,QUARTERLY,SUPERVISION,0,Map Survival Mechanism,Program Performance,Mapping,1,Central
1006,DM,2,MAP,PROGPERFORM,MAPPING,0,0,0,0,QUARTERLY,DESIGN,0,Map Survival Mechanism,Program Performance,Mapping,1,Central
1006,DM,2,MAP,PROGPERFORM,MAPPING,0,0,0,0,QUARTERLY,PRIORITIZE,0,Map Survival Mechanism,Program Performance,Mapping,1,Central
1006,DM,2,MAP,PROGPERFORM,MAPPING,0,0,0,0,QUARTERLY,LINK,0,Map Survival Mechanism,Program Performance,Mapping,1,Central
1006,DM,2,MAP,UPTAKE,PROGPERFORM,0,0,0,0,QUARTERLY,SUPERVISION,0,Map Survival Mechanism,Increase Uptake/Demand Creation,Program Performance,1,Central
1006,DM,2,MAP,UPTAKE,PROGPERFORM,0,0,0,0,QUARTERLY,DESIGN,0,Map Survival Mechanism,Increase Uptake/Demand Creation,Program Performance,1,Central
1006,DM,2,MAP,UPTAKE,PROGPERFORM,0,0,0,0,QUARTERLY,PRIORITIZE,0,Map Survival Mechanism,Increase Uptake/Demand Creation,Program Performance,1,Central
1006,DM,2,MAP,UPTAKE,PROGPERFORM,0,0,0,0,QUARTERLY,LINK,0,Map Survival Mechanism,Increase Uptake/Demand Creation,Program Performance,1,Central
1006,DM,2,MAP,UPTAKE,ANECDOTE,0,0,0,0,QUARTERLY,SUPERVISION,0,Map Survival Mechanism,Increase Uptake/Demand Creation,Anecdotal Information,1,Central
1006,DM,2,MAP,UPTAKE,ANECDOTE,0,0,0,0,QUARTERLY,DESIGN,0,Map Survival Mechanism,Increase Uptake/Demand Creation,Anecdotal Information,1,Central
1006,DM,2,MAP,UPTAKE,ANECDOTE,0,0,0,0,QUARTERLY,PRIORITIZE,0,Map Survival Mechanism,Increase Uptake/Demand Creation,Anecdotal Information,1,Central
1006,DM,2,MAP,UPTAKE,ANECDOTE,0,0,0,0,QUARTERLY,LINK,0,Map Survival Mechanism,Increase Uptake/Demand Creation,Anecdotal Information,1,Central
1006,DM,2,MAP,UPTAKE,PARTNER,0,0,0,0,QUARTERLY,SUPERVISION,0,Map Survival Mechanism,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,1,Central
1006,DM,2,MAP,UPTAKE,PARTNER,0,0,0,0,QUARTERLY,DESIGN,0,Map Survival Mechanism,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,1,Central
1006,DM,2,MAP,UPTAKE,PARTNER,0,0,0,0,QUARTERLY,PRIORITIZE,0,Map Survival Mechanism,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,1,Central
1006,DM,2,MAP,UPTAKE,PARTNER,0,0,0,0,QUARTERLY,LINK,0,Map Survival Mechanism,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,1,Central
1006,DM,2,MAP,UPTAKE,MAPPING,0,0,0,0,QUARTERLY,SUPERVISION,0,Map Survival Mechanism,Increase Uptake/Demand Creation,Mapping,1,Central
1006,DM,2,MAP,UPTAKE,MAPPING,0,0,0,0,QUARTERLY,DESIGN,0,Map Survival Mechanism,Increase Uptake/Demand Creation,Mapping,1,Central
1006,DM,2,MAP,UPTAKE,MAPPING,0,0,0,0,QUARTERLY,PRIORITIZE,0,Map Survival Mechanism,Increase Uptake/Demand Creation,Mapping,1,Central
1006,DM,2,MAP,UPTAKE,MAPPING,0,0,0,0,QUARTERLY,LINK,0,Map Survival Mechanism,Increase Uptake/Demand Creation,Mapping,1,Central
1006,DM,3,MI,LINK,BBSS,0,0,0,0,MI,MI,0,Missing Information,Link Partners And Programs,BBSS,1,Central
1006,DM,3,MI,LINK,SYS DHIS2,0,0,0,0,MI,MI,0,Missing Information,Link Partners And Programs,DHIS2,1,Central
1006,DM,3,MI,LINK,SURVEY SEN,0,0,0,0,MI,MI,0,Missing Information,Link Partners And Programs,Sentinel Survey,1,Central
1006,DM,4,MI,PROGTARGET,SYS DHIS2,0,0,0,0,MI,RETENTION,0,Missing Information,Program Targeting,DHIS2,1,Central
1006,DM,4,MI,PROGTARGET,PARTNER,0,0,0,0,MI,RETENTION,0,Missing Information,Program Targeting,An organization or group that partners with the Ministry.,1,Central
1006,DM,5,SBC,UPTAKE,RESEARCH,0,0,0,0,MI,RECOMMEND,0,Reached Through SBC,Increase Uptake/Demand Creation,Research,1,Central
1006,DM,5,SBC,UPTAKE,RESEARCH,0,0,0,0,MI,STRATEGY,0,Reached Through SBC,Increase Uptake/Demand Creation,Research,1,Central
1006,DM,5,SBC,UPTAKE,PARTNER,0,0,0,0,MI,RECOMMEND,0,Reached Through SBC,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,1,Central
1006,DM,5,SBC,UPTAKE,PARTNER,0,0,0,0,MI,STRATEGY,0,Reached Through SBC,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,1,Central
1006,DM,5,SBC YIELD,UPTAKE,RESEARCH,0,0,0,0,MI,RECOMMEND,0,SBC Yield,Increase Uptake/Demand Creation,Research,1,Central
1006,DM,5,SBC YIELD,UPTAKE,RESEARCH,0,0,0,0,MI,STRATEGY,0,SBC Yield,Increase Uptake/Demand Creation,Research,1,Central
1006,DM,5,SBC YIELD,UPTAKE,PARTNER,0,0,0,0,MI,RECOMMEND,0,SBC Yield,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,1,Central
1006,DM,5,SBC YIELD,UPTAKE,PARTNER,0,0,0,0,MI,STRATEGY,0,SBC Yield,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,1,Central
1006,DM,5,SBC APPROACH,UPTAKE,RESEARCH,0,0,0,0,MI,RECOMMEND,0,SBC Approach,Increase Uptake/Demand Creation,Research,1,Central
1006,DM,5,SBC APPROACH,UPTAKE,RESEARCH,0,0,0,0,MI,STRATEGY,0,SBC Approach,Increase Uptake/Demand Creation,Research,1,Central
1006,DM,5,SBC APPROACH,UPTAKE,PARTNER,0,0,0,0,MI,RECOMMEND,0,SBC Approach,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,1,Central
1006,DM,5,SBC APPROACH,UPTAKE,PARTNER,0,0,0,0,MI,STRATEGY,0,SBC Approach,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,1,Central
1006,DM,5,SBC,PRIORITIZE,RESEARCH,0,0,0,0,MI,RECOMMEND,0,Reached Through SBC,Prioritization,Research,1,Central
1006,DM,5,SBC,PRIORITIZE,RESEARCH,0,0,0,0,MI,STRATEGY,0,Reached Through SBC,Prioritization,Research,1,Central
1006,DM,5,SBC,PRIORITIZE,PARTNER,0,0,0,0,MI,RECOMMEND,0,Reached Through SBC,Prioritization,An organization or group that partners with the Ministry.,1,Central
1006,DM,5,SBC,PRIORITIZE,PARTNER,0,0,0,0,MI,STRATEGY,0,Reached Through SBC,Prioritization,An organization or group that partners with the Ministry.,1,Central
1006,DM,5,SBC YIELD,PRIORITIZE,RESEARCH,0,0,0,0,MI,RECOMMEND,0,SBC Yield,Prioritization,Research,1,Central
1006,DM,5,SBC YIELD,PRIORITIZE,RESEARCH,0,0,0,0,MI,STRATEGY,0,SBC Yield,Prioritization,Research,1,Central
1006,DM,5,SBC YIELD,PRIORITIZE,PARTNER,0,0,0,0,MI,RECOMMEND,0,SBC Yield,Prioritization,An organization or group that partners with the Ministry.,1,Central
1006,DM,5,SBC YIELD,PRIORITIZE,PARTNER,0,0,0,0,MI,STRATEGY,0,SBC Yield,Prioritization,An organization or group that partners with the Ministry.,1,Central
1006,DM,5,SBC APPROACH,PRIORITIZE,RESEARCH,0,0,0,0,MI,RECOMMEND,0,SBC Approach,Prioritization,Research,1,Central
1006,DM,5,SBC APPROACH,PRIORITIZE,RESEARCH,0,0,0,0,MI,STRATEGY,0,SBC Approach,Prioritization,Research,1,Central
1006,DM,5,SBC APPROACH,PRIORITIZE,PARTNER,0,0,0,0,MI,RECOMMEND,0,SBC Approach,Prioritization,An organization or group that partners with the Ministry.,1,Central
1006,DM,5,SBC APPROACH,PRIORITIZE,PARTNER,0,0,0,0,MI,STRATEGY,0,SBC Approach,Prioritization,An organization or group that partners with the Ministry.,1,Central
1006,DM,6,MI,UPTAKE,RPT LAHAF,0,0,0,0,MI,MI,0,Missing Information,Increase Uptake/Demand Creation,LAHARF Report,1,Central
1006,DM,6,MI,UPTAKE,SYS HMIS,0,0,0,0,MI,MI,0,Missing Information,Increase Uptake/Demand Creation,HMIS,1,Central
1006,DM,6,MI,UPTAKE,SYS DHIS2,0,0,0,0,MI,MI,0,Missing Information,Increase Uptake/Demand Creation,DHIS2,1,Central
1006,DM,7,MI,MAP,RPT LAHAF,0,0,0,0,MI,LINK,0,Missing Information,Map Survival Mechanism,LAHARF Report,1,Central
1006,DM,7,MI,MAP,SYS HMIS,0,0,0,0,MI,LINK,0,Missing Information,Map Survival Mechanism,HMIS,1,Central
1006,DM,7,MI,MAP,SYS DHIS2,0,0,0,0,MI,LINK,0,Missing Information,Map Survival Mechanism,DHIS2,1,Central
1006,DM,7,MI,COORDINATE,SYS HMIS,0,0,0,0,MI,LINK,0,Missing Information,Partner/Stakeholder Coordination,HMIS,1,Central
1006,DM,7,MI,COORDINATE,SYS DHIS2,0,0,0,0,MI,LINK,0,Missing Information,Partner/Stakeholder Coordination,DHIS2,1,Central
1006,DM,7,MI,COORDINATE,RPT SUPER,0,0,0,0,MI,LINK,0,Missing Information,Partner/Stakeholder Coordination,Supervision Report,1,Central
1006,DM,8,MI,STAFFING,TWG,0,0,0,0,MI,MENTOR,0,Missing Information,Staffing/Workload,Technical Working Group,1,Central
1006,DM,8,MI,STAFFING,MEETING,0,0,0,0,MI,MENTOR,0,Missing Information,Staffing/Workload,Meeting,1,Central
1006,DM,8,MI,SUPERVISION,TWG,0,0,0,0,MI,MENTOR,0,Missing Information,Supervision,Technical Working Group,1,Central
1006,DM,8,MI,SUPERVISION,MEETING,0,0,0,0,MI,MENTOR,0,Missing Information,Supervision,Meeting,1,Central
1006,DM,8,MI,FEEDBACK,TWG,0,0,0,0,MI,MENTOR,0,Missing Information,Provide Feedback,Technical Working Group,1,Central
1006,DM,8,MI,FEEDBACK,MEETING,0,0,0,0,MI,MENTOR,0,Missing Information,Provide Feedback,Meeting,1,Central
1006,DM,9,MI,PRIORITIZE,MI,0,0,0,0,MI,MI,0,Missing Information,Prioritization,Missing Information,1,Central
1007,DM,1,TREAT,RESMOB,SUPVISIT,0,0,0,0,QUARTERLY,RESMOB,0,Patients Treated,Resource Mobilization,Data Is Accessed During Supervision Visits,1,Central
1007,DM,1,TREAT,RESMOB,PER FACINCHGE,0,0,0,0,QUARTERLY,RESMOB,0,Patients Treated,Resource Mobilization,Facility in Chart,1,Central
1007,DM,1,TREAT,RESMOB,FAC,0,0,0,0,QUARTERLY,RESMOB,0,Patients Treated,Resource Mobilization,Facility,1,Central
1007,DM,1,DRUG SUPPLY,RESMOB,SUPVISIT,0,0,0,0,QUARTERLY,RESMOB,0,Drug Supply,Resource Mobilization,Data Is Accessed During Supervision Visits,1,Central
1007,DM,1,DRUG SUPPLY,RESMOB,PER FACINCHGE,0,0,0,0,QUARTERLY,RESMOB,0,Drug Supply,Resource Mobilization,Facility in Chart,1,Central
1007,DM,1,DRUG SUPPLY,RESMOB,FAC,0,0,0,0,QUARTERLY,RESMOB,0,Drug Supply,Resource Mobilization,Facility,1,Central
1007,DM,1,DRUG CONSUMP,RESMOB,SUPVISIT,0,0,0,0,QUARTERLY,RESMOB,0,Drug Consumption,Resource Mobilization,Data Is Accessed During Supervision Visits,1,Central
1007,DM,1,DRUG CONSUMP,RESMOB,PER FACINCHGE,0,0,0,0,QUARTERLY,RESMOB,0,Drug Consumption,Resource Mobilization,Facility in Chart,1,Central
1007,DM,1,DRUG CONSUMP,RESMOB,FAC,0,0,0,0,QUARTERLY,RESMOB,0,Drug Consumption,Resource Mobilization,Facility,1,Central
1007,DM,1,NEWCASE,RESMOB,SUPVISIT,0,0,0,0,QUARTERLY,RESMOB,0,New Cases,Resource Mobilization,Data Is Accessed During Supervision Visits,1,Central
1007,DM,1,NEWCASE,RESMOB,PER FACINCHGE,0,0,0,0,QUARTERLY,RESMOB,0,New Cases,Resource Mobilization,Facility in Chart,1,Central
1007,DM,1,NEWCASE,RESMOB,FAC,0,0,0,0,QUARTERLY,RESMOB,0,New Cases,Resource Mobilization,Facility,1,Central
1007,DM,2,TEST HIV,DRUG SUPPLY,FAC,0,0,0,0,QUARTERLY,RESMOB,0,Test HIV,Drug Supply,Facility,1,Central
1007,DM,2,TEST HIV,DRUG SUPPLY,SYS DATABASE,0,0,0,0,QUARTERLY,RESMOB,0,Test HIV,Drug Supply,Database,1,Central
1007,DM,2,TEST HIV,DRUG SUPPLY,SUPPLYLIST,0,0,0,0,QUARTERLY,RESMOB,0,Test HIV,Drug Supply,Supply List,1,Central
1007,DM,3,TEST HIV,TREATINIT,MI,0,0,0,0,MI,MI,0,Test HIV,Treatment Initiation,Missing Information,1,Central
1007,DM,7,MI,DRUG SUPPLY,MI,0,0,0,0,MI,MI,0,Missing Information,Drug Supply,Missing Information,1,Central
1007,DM,8,DRUG SUPPLY,DRUG SUPPLY,MI,0,0,0,0,MI,MI,0,Drug Supply,Drug Supply,Missing Information,1,Central
1007,DM,8,DRUG STOCKOUT,DRUG SUPPLY,MI,0,0,0,0,MI,MI,0,Drug Stock Out,Drug Supply,Missing Information,1,Central
1007,DM,8,DRUG EXPIRY,DRUG SUPPLY,MI,0,0,0,0,MI,MI,0,Drug Expiry,Drug Supply,Missing Information,1,Central
1007,DM,8,TEST HIV,DRUG SUPPLY,MI,0,0,0,0,MI,MI,0,Test HIV,Drug Supply,Missing Information,1,Central
1007,DM,9,MI,PROBLEMSOLVE,MI,0,0,0,0,MI,MI,0,Missing Information,Problem Solve,Missing Information,1,Central
1008,DM,1,DRUG SUPPLY,DRUG SUPPLY,RPT LMIS,0,0,0,0,MONTH Q,DRUG ALL,0,Drug Supply,Drug Supply,LMIS Report,1,Central
1008,DM,2,DRUG STOCKOUT,DRUG SUPPLY,PER SUPPLY,0,0,0,0,MONTHLY,DRUG ALL,0,Drug Stock Out,Drug Supply,Supply Chain Manager,1,Central
1008,DM,2,DRUG SUPPLY,DRUG SUPPLY,PER SUPPLY,0,0,0,0,MONTHLY,DRUG ALL,0,Drug Supply,Drug Supply,Supply Chain Manager,1,Central
1009,DM,1,DRUG SUPPLY,DRUG SUPPLY,SUPVISIT,0,0,0,0,QUARTERLY,DRUG ALL,0,Drug Supply,Drug Supply,Data Is Accessed During Supervision Visits,1,Central
1009,DM,2,MI,MANAGE,SYS DHIS2,0,0,0,0,MI,MI,0,Missing Information,Manage Staff And Facilities,DHIS2,1,Central
1009,DM,3,MI,LINK,MI,0,0,0,0,MI,MI,0,Missing Information,Link Partners And Programs,Missing Information,1,Central
1009,DM,3,MI,TREATINIT,MI,0,0,0,0,MI,MI,0,Missing Information,Treatment Initiation,Missing Information,1,Central
1009,DM,4,MI,GAP,REVIEW DIP,0,0,0,0,MI,MI,0,Missing Information,Identify Gap,DIP Review,1,Central
1009,DM,4,MI,GAP,REVIEW ZONE,0,0,0,0,MI,MI,0,Missing Information,Identify Gap,Zonal Review,1,Central
1009,DM,5,MI,MI,SYS DHIS2,0,0,0,0,MI,PROGPERFORM,0,Missing Information,Missing Information,DHIS2,1,Central
1009,DM,5,MI,MI,SYS DHIS2,0,0,0,0,MI,GAP,0,Missing Information,Missing Information,DHIS2,1,Central
1009,DM,7,MI,DRUG SUPPLY,MI,0,0,0,0,MI,MI,0,Missing Information,Drug Supply,Missing Information,1,Central
1009,DM,8,MI,GAP,SUPVISIT,0,0,0,0,QUARTERLY,MI,0,Missing Information,Identify Gap,Data Is Accessed During Supervision Visits,1,Central
1009,DM,8,MI,GAP,REVIEW DIP,0,0,0,0,QUARTERLY,MI,0,Missing Information,Identify Gap,DIP Review,1,Central
1009,DM,8,MI,PROGPERFORM,SUPVISIT,0,0,0,0,QUARTERLY,MI,0,Missing Information,Program Performance,Data Is Accessed During Supervision Visits,1,Central
1009,DM,8,MI,PROGPERFORM,REVIEW DIP,0,0,0,0,QUARTERLY,MI,0,Missing Information,Program Performance,DIP Review,1,Central
2102,DM,1,MEETING HTC,UPTAKE,PARTNER CBO,0,0,0,0,QUARTERLY,PROGTARGET,0,Meetings on HTC,Increase Uptake/Demand Creation,Community Based Organization,2,District
2102,DM,1,MEETING HTC,UPTAKE,PARTNER CBO,0,0,0,0,QUARTERLY,GENRPT,0,Meetings on HTC,Increase Uptake/Demand Creation,Community Based Organization,2,District
2102,DM,1,MEETING HTC,UPTAKE,FORM,0,0,0,0,QUARTERLY,PROGTARGET,0,Meetings on HTC,Increase Uptake/Demand Creation,Form,2,District
2102,DM,1,MEETING HTC,UPTAKE,FORM,0,0,0,0,QUARTERLY,GENRPT,0,Meetings on HTC,Increase Uptake/Demand Creation,Form,2,District
2102,DM,1,MEETING HTC,UPTAKE,RPT LAHAF,0,0,0,0,QUARTERLY,PROGTARGET,0,Meetings on HTC,Increase Uptake/Demand Creation,LAHARF Report,2,District
2102,DM,1,MEETING HTC,UPTAKE,RPT LAHAF,0,0,0,0,QUARTERLY,GENRPT,0,Meetings on HTC,Increase Uptake/Demand Creation,LAHARF Report,2,District
2102,DM,1,MEETING ARV,UPTAKE,PARTNER CBO,0,0,0,0,QUARTERLY,PROGTARGET,0,Meetings on ARV,Increase Uptake/Demand Creation,Community Based Organization,2,District
2102,DM,1,MEETING ARV,UPTAKE,PARTNER CBO,0,0,0,0,QUARTERLY,GENRPT,0,Meetings on ARV,Increase Uptake/Demand Creation,Community Based Organization,2,District
2102,DM,1,MEETING ARV,UPTAKE,FORM,0,0,0,0,QUARTERLY,PROGTARGET,0,Meetings on ARV,Increase Uptake/Demand Creation,Form,2,District
2102,DM,1,MEETING ARV,UPTAKE,FORM,0,0,0,0,QUARTERLY,GENRPT,0,Meetings on ARV,Increase Uptake/Demand Creation,Form,2,District
2102,DM,1,MEETING ARV,UPTAKE,RPT LAHAF,0,0,0,0,QUARTERLY,PROGTARGET,0,Meetings on ARV,Increase Uptake/Demand Creation,LAHARF Report,2,District
2102,DM,1,MEETING ARV,UPTAKE,RPT LAHAF,0,0,0,0,QUARTERLY,GENRPT,0,Meetings on ARV,Increase Uptake/Demand Creation,LAHARF Report,2,District
2102,DM,1,MEETING ART,UPTAKE,PARTNER CBO,0,0,0,0,QUARTERLY,PROGTARGET,0,Meetings on ART,Increase Uptake/Demand Creation,Community Based Organization,2,District
2102,DM,1,MEETING ART,UPTAKE,PARTNER CBO,0,0,0,0,QUARTERLY,GENRPT,0,Meetings on ART,Increase Uptake/Demand Creation,Community Based Organization,2,District
