Table,Element
DHA,Central West Zone
DHA,CHAM
DHA,Chase buffer
DHA,CHECK: Total babies
DHA,CHECK: Total clients age group
DHA,CHECK: Total HIV +
DHA,CHECK: Total HIV ascertainment
DHA,CHECK: Total potential donors (sum HepB testing)
DHA,CHECK: Total potential donors (sum HepC testing)
DHA,CHECK: Total potential donors (sum HIV testing)
DHA,CHECK: Total potential donors (sum malaria tests)
DHA,CHECK: Total potential donors (sum outcomes)
DHA,CHECK: Total potential donors (sum Syp testing)
DHA,CHECK: Total pre-op status
DHA,CHECK: Total STI clients (sum age)
DHA,CHECK: Total STI clients (sum client type)
DHA,CHECK: Total STI clients (sum diagnosis)
DHA,CHECK: Total STI clients (sum ever treated)
DHA,CHECK: Total STI clients (sum HIV status)
DHA,CHECK: Total STI clients (sum sex)
DHA,CHECK: Total tested (access type sum)
DHA,CHECK: Total tested (age sum)
DHA,CHECK: Total tested (last HIV test sum)
DHA,CHECK: Total tested (partner present sum)
DHA,CHECK: Total tested (result sum)
DHA,CHECK: Total tested (sex sum)
DHA,CHECK: Total tested (test sum)
DHA,CHECK: Total VMMC 1st Visits
DHA,CHECK: Total VMMC 2nd visits
DHA,CHECK: Total VMMC location
DHA,CHECK: Total VMMC method
DHA,CHECK: Total VMMC severe AE
DHA,CHECK: Total women
DHA,CHECK: Total women HIV+
DHA,CHECK: Total women in cohort
DHA,CHECK: Women delivered here
DHA,Checked / unchecked data
DHA,Chief Lab Officer
DHA,Chikwawa
DHA,Children 0-14 yrs
DHA,Children 12 mths - 14 yrs (Age group B)
DHA,Children 2 - below 24 months
DHA,Children 2-14 yrs
DHA,Children 24 months - 14 years
DHA,Children below 12 mths (Age group A)
DHA,Children below 24 mths
DHA,Chiradzulu
DHA,Chitipa
DHA,CHN Community Health Nurse
DHA,Ciprofloxacin
DHA,Clerk (ART)
DHA,Clerk (Pharmacy)
DHA,Client type
DHA,Clients at health facility (static)
DHA,Clients tested in the community
DHA,Clinic quality checklist ver13
DHA,Clinic quality checklist ver8.3
DHA,Clinic quality checklist ver8.5
DHA,Clinical staff
DHA,Clinician
DHA,Clinicians
DHA,Clinicians trained in STI
DHA,Clinicians trained in STI that are practicing
DHA,Clinicians(MA/CO/MO) at the facilty
DHA,Clotrimazole
DHA,CMS priority
DHA,CMS regular
DHA,Codeine
DHA,Competent and professional
DHA,Condoms female
DHA,Condoms male
DHA,Confirmatory inconclusive
DHA,Confirmatory positive
DHA,Confirmatory results (previous positive clients)
DHA,Confirmed HIV infection
DHA,Confirmed infected patients (pre-ART)
DHA,Confirmed order in pipeline
DHA,Consent given
DHA,Contraindication
DHA,Correct amount of blood
DHA,Correct amount of buffer
DHA,Correct incubation time Determine HIV
DHA,Correct incubation time for Uni-Gold HIV
DHA,Correct knowledge of testing algorithm
DHA,Cotrimoxazole
DHA,Cotton wool available
DHA,Counseled alone / Partner not present
DHA,Counseled with partner / partner present
DHA,Counseling session type / Partner present
DHA,"Counselling room clean, tidy"
DHA,Counsellor meeting conducted last quarter
DHA,CPT register complete
DHA,Cross-matching report
DHA,Cryptococcal antigen
DHA,Cumulative
DHA,Current HIV infection status known
DHA,Current HIV infection status unknown
DHA,Currently enough staff to test all ANC women
DHA,d4T / 3TC
DHA,d4T / 3TC / NVP
DHA,Daily Activity Register available
DHA,Daily Activity Register correctly filled
DHA,Data dimensions
DHA,Data elements used in calc rules for distribution
DHA,Data entry error
DHA,Days from group counseling to ART initiation
DHA,DBS cards for external QC available
DHA,"DBS kit (filter paper, lancet, etc.)"
DHA,ddI
DHA,Dedza
DHA,Defaulted
DHA,Delayed scheduled delivery
DHA,Delivery mode
DHA,Delivery place
DHA,Dep Forest
DHA,Depo-Provera
DHA,Determine HIV physical stock count
DHA,Determine HIV stock card available
DHA,Determine HIV stock card last entry date
DHA,Determine HIV stock card last position
DHA,Determine HIV1/2
DHA,Determine syphilis
DHA,Deviation from distribution list
DHA,Device
DHA,Diagnostics
DHA,Died
DHA,Diflucan - CM maintenance cases given Oral susp
DHA,Diflucan - CM maintenance cases given Tabs
DHA,Diflucan - CM new cases given Oral susp
DHA,Diflucan - CM new cases given Tabs
DHA,Diflucan - Est. # of patients needing Dif. Per qtr
DHA,Diflucan - OC new cases given Oral susp
DHA,Diflucan - OC new cases given Tabs
DHA,Diflucan register filled for each bottle dispensed
DHA,Dignitas
DHA,Dispensary
DHA,Disposable gloves available
DHA,Disposal
DHA,District hospital
DHA,District level aggregate
DHA,District PMTCT/ART Coordinator
DHA,Districts
DHA,DNA-PCR results not (yet) received at facility
DHA,DNA-PCR results received at facility
DHA,DNA-PCR results received at site (2-4 wks after Q)
DHA,DNA-PCR results received by guardian
DHA,DNA-PCR specimens collected
DHA,DNA-PCR specimens collected and results received
DHA,DNA-PCR specimens recorded in logbook
DHA,DNO District Nursing Officer
DHA,DOD
DHA,Donated
DHA,Door tags
DHA,Dowa
DHA,Doxycyclin
DHA,Doxycycline
DHA,E thambutol (E)
DHA,each
DHA,Early Infant Diagnosis Specimen Report
DHA,EFV
DHA,EGPAF
DHA,EHO Environmental Health Officer
DHA,EID DNA-PCR Logbook 1st month
DHA,EID DNA-PCR Logbook 2nd month
DHA,EID DNA-PCR Logbook 3rd month
DHA,EID DNA-PCR logbook report
DHA,EID DNA-PCR Logbook Report ver2
DHA,EID outcomes (out of results received at site)
DHA,ENM Enrolled Nurse Midwife
DHA,Enough HIV tests reserved for pregnant women
DHA,EPTB within the last 24 months or current
DHA,Erythromycin
DHA,Etonorgestrel (Implanon NXT)
DHA,Etonorgestrel (Implanon)
DHA,"Examination gloves, latex"
DHA,Exceeded 5A ceilings
DHA,Exp child - 1st month - Age 12m
DHA,Exp child - 1st month - Age 24m
DHA,Exp child - 1st month - Age 2m
DHA,Exp child - 2nd month - Age 12m
DHA,Exp child - 2nd month - Age 24m
DHA,Exp child - 2nd month - Age 2m
DHA,Exp child - 3rd month - Age 12m
DHA,Exp child - 3rd month - Age 24m
DHA,Exp child - 3rd month - Age 2m
DHA,Exposed child card (pink)
DHA,Exposed infants
DHA,Facility attributes
DHA,Facility type
DHA,Fam Planning
DHA,Family HTC Referral Slip
DHA,Family planning
DHA,Family Referral Slip (FRS)
DHA,Family referral slips available
DHA,Farmers
DHA,Feedback Form
DHA,Female condoms freely available
DHA,Females
DHA,Females (all ages)
DHA,Females tested
DHA,Filing - Exp Child cards correctly filed
DHA,Filing - Pre-ART+ART cards filed by Active/Inactiv
DHA,Final result given to client
DHA,First line regimens
DHA,First time ART initiations (total patients)
DHA,Flipcharts ARV Education Set of 3 (2015)
DHA,Fluconazole (Diflucan)
DHA,Fluconazole (generic)
DHA,Forceps guided
DHA,Forces
DHA,Form control types
DHA,Free
DHA,Free or paying
DHA,Full circumcision
DHA,Functional pit / incinerator
DHA,Functional treatment outcomes
DHA,Ganciclovir
DHA,Genital Warts
DHA,Gentamicin
DHA,Gentamycin
DHA,Gentian violet
DHA,Geographical areas
DHA,GUD
DHA,Gynae review
DHA,HA Hospital / Ward Attendant
DHA,Haemorrhage (ante- or post-partum)
DHA,HCC - Cumulative Pre-ART outcome report complete
DHA,HCC - Exp Child cohort reports complete
DHA,HCC - Quarterly cohort report complete
DHA,HCC register
DHA,HCC register correctly filled
DHA,HCCExpOutcCPT
DHA,HCCExpOutcHIV
DHA,HCCExpOutcPrim
DHA,HCCPreOutc
DHA,HDA HIV Diagonostic Assistant
DHA,Health centre
DHA,Health post
DHA,Health service mode
DHA,Health service type
DHA,Health workers
DHA,Hepatitis B screening
DHA,Hepatitis B test reagent stock-out
DHA,Hepatitis C screening
DHA,Hepatitis C test reagent stock-out
DHA,HepB Negative
DHA,HepB Positive
DHA,HepB testing not done
DHA,HepC Negative
DHA,HepC Positive
DHA,HepC testing not done
DHA,High risk
DHA,HIV  status ascertainment
DHA,HIV Care Clinic (HCC) cohort analysis
DHA,HIV Care Clinic program
DHA,HIV exp child FUP
DHA,HIV exposed child follow-up
DHA,HIV negative
DHA,HIV negative (est. 40%)
DHA,HIV negative (new test)
DHA,HIV positive
DHA,HIV positive (est.  60%) in need of ART
DHA,HIV Prog Supervision Feedback form version 1
DHA,HIV Rapid Tests Daily Activity Register
DHA,HIV screening
DHA,HIV status ascertained
DHA,HIV status ascertainment
DHA,HIV status not ascertained
DHA,HIV status summary
DHA,HIV test / ART status
DHA,HIV test 1 used at stand-alone
DHA,HIV test 2 used at stand-alone
DHA,HIV Test Kit Management
DHA,HIV test reagent stock-out
DHA,HIV testing Exp children 12m: 85% target met
DHA,HIV testing Exp children 2m: 85% target met
DHA,HIV testing not done
DHA,HIV-burden among TB patients (estimated)
DHA,Home / TBA
DHA,Housewives
DHA,HTC
DHA,HTC access type
DHA,HTC at  health facility - 1st month
DHA,HTC at health facility - 2nd month
DHA,HTC at health facility - 3rd month
DHA,HTC at stand-alone - 1st month
DHA,HTC at stand-alone - 2nd month
DHA,HTC at stand-alone - 3rd month
DHA,HTC client details
DHA,HTC Counsellor Knowledge
DHA,HTC district level report
DHA,HTC District report
DHA,HTC facility report ver2
DHA,HTC facility report ver3
DHA,HTC first time / repeat
DHA,HTC guidelines available
DHA,HTC in community - 1st month
DHA,HTC in community - 2nd month
DHA,HTC in community - 3rd month
DHA,HTC monthly report form available
DHA,HTC monthly report form correctly filled
DHA,HTC monthly report sent to DHO by 5th day
DHA,HTC Program report
DHA,HTC protocol on display
DHA,HTC register
DHA,HTC register available (latest version)
DHA,HTC register correctly filled
DHA,HTC report check sums
DHA,HTC reports for all 3 months
DHA,HTC site logistics
DHA,HTC site report
DHA,HTC site supervision checklist
DHA,HTC site supervision form
DHA,HTC site supervision form version 2
DHA,HTCAge
DHA,HTCRes
DHA,HTCSex
DHA,HTCTest
DHA,Ibuprofen
DHA,ICF done
DHA,ICF not done (Current TB status unknown/ not circ)
DHA,IEC materials available
DHA,implant
DHA,In transit
DHA,Indep NGO
DHA,Index cases
DHA,Index patients treated (symptomatic)
DHA,Infant complications
DHA,Infant details
DHA,Infant survival
DHA,Infants below 2 months
DHA,Infect. disease screening among potential donors
DHA,Infrastructure of main counseling unit
DHA,inject
DHA,In-session testing for all ANC women
DHA,Intrauterine device (Copper T)
DHA,Introduced themselves properly
DHA,Inventory units
DHA,Isoniazid (H)
DHA,Item attributes
DHA,Item presentation
DHA,Kaposi's sarcoma at ART initiation
DHA,Karonga
DHA,Kasungu
DHA,kits
DHA,Lab
DHA,Lab Assistant
DHA,Lab staff
DHA,Lab Technician
DHA,Labour and delivery
DHA,LAP
DHA,Last exposed infant
DHA,Last inconclusive
DHA,Last negative
DHA,Last positive
DHA,Lever arch file
DHA,Levonorgestrel (Jadelle)
DHA,Levonorgestrel (oral)
DHA,Lighthouse
DHA,Likoma
DHA,Lilongwe
DHA,Loc Govt
DHA,Location
DHA,Lockable cupboard for records
DHA,Logistics
DHA,Low risk
DHA,LPV / r
DHA,Lumefantrine / artemether
DHA,M&E Tools
DHA,Machinga
DHA,Malaria Negative
DHA,Malaria Positive
DHA,Malaria rapid diagnostic test
DHA,Malaria screening
DHA,Malaria testing not done
DHA,Malawi (national)
DHA,Male condoms freely available
DHA,Males
DHA,Males (all ages)
DHA,Males tested
DHA,Managing authority
DHA,Mangochi
DHA,Manual removal of placenta
DHA,Mat register correctly filled
DHA,MatArv
DHA,MatArvLab
DHA,MatBf
DHA,MatCxIn
DHA,MatCxM
DHA,Maternal details
DHA,Maternal sepsis
DHA,Maternity
DHA,Maternity - 1st month
DHA,Maternity - 2nd month
DHA,Maternity - 3rd month
DHA,Maternity program
DHA,Maternity register
DHA,Maternity report check sums
DHA,Maternity report ver2
DHA,Maternity report ver3
DHA,Maternity reports for all 3 months
DHA,Maternity services report (labour and delivery)
DHA,MatHiv
DHA,MatInf
DHA,MatLoc
DHA,MatMod
DHA,MatRef
DHA,MatStaf
DHA,MatSurv
DHA,MatTEO
DHA,MatTwin
DHA,MatVitA
DHA,Mc1stFV
DHA,Mc2ndFV
DHA,McAgegrp
DHA,Mchinji
DHA,McLoc
DHA,McMethod
DHA,McMsAE
DHA,McOutcHiv
DHA,McPreOPstat
DHA,Method
DHA,Methylated spirit available
DHA,Metronidazole
DHA,Microgynon
DHA,Microscope
DHA,Microscope slides
DHA,Mild
DHA,Minutes for counsellor meeting seen
DHA,ml
DHA,Mobile
DHA,Moderate
DHA,MoEST
DHA,MoH
DHA,Monthly
DHA,Morphine
DHA,Most severe AE
DHA,Mother alive
DHA,Mother died
DHA,Mother survival
DHA,MSH
DHA,Mulanje
DHA,Mwanza
DHA,Mzimba North
DHA,Mzimba South
DHA,Nation
DHA,NC
DHA,Negative / inconclusive DNA-PCR results
DHA,Neno
DHA,Neonatal deaths
DHA,Never tested before
DHA,Never treated for STI
DHA,New ANC registrations in reporting period
DHA,New exposed infants
DHA,New inconclusive
DHA,New initiations on Regimen 5A
DHA,New negative
DHA,New positive
DHA,New test at ANC
DHA,New test result at VMMC
DHA,Nkhata Bay
DHA,Nkhotakota
DHA,NMT Nurse Midwife Technician
DHA,No ARVs in labour
DHA,No ARVs in pregnancy
DHA,No infant complications
DHA,No KS
DHA,No obstetric complications
DHA,No side effects
DHA,None
DHA,Non-pregnant
DHA,Northern Region
DHA,Northern Zone
DHA,Not donated
DHA,Not on ART
DHA,Not on ART when starting TB treatment
DHA,Not referred out
DHA,Not referred to other site (total women)
DHA,NRU
DHA,Nsanje
DHA,Ntcheu
DHA,Ntchisi
DHA,Number of clerks per clinic day
DHA,Number of COs per clinic day
DHA,Number of nurses per clinic day
DHA,Number of outreach/mobile ART clinics
DHA,Nurse
DHA,Nurses
DHA,Nurses at the facility
DHA,Nurses trained in STI
DHA,Nurses trained in STI that are practicing
DHA,NVP
DHA,NVP + AZT + 3TC
DHA,NVP syrup dispensed at ANC asap
DHA,Obstetric complications
DHA,Obstr / prol labour
DHA,Occupation
DHA,OI drugs
DHA,Old >3 months ago
DHA,Older adults 25+ yrs (Age group D)
DHA,On ART
DHA,OPD
DHA,oral susp
DHA,Other
DHA,Other (service referrals)
DHA,"Other (VCT, etc.) HTC access"
DHA,Other facility
DHA,Other hospital
DHA,Other newborn complication
DHA,Other obstetric complications
DHA,Other STI
DHA,Others
DHA,Outcome summary (HIV test)
DHA,Outreach
DHA,PA Patient Attendant
DHA,Pack units
DHA,Package type
DHA,Paed. formulation
DHA,Paediatric formulation drug
DHA,Paediatric second line
DHA,Paeds
DHA,Partner / Family HTC referral slips
DHA,Partners asymptomatic
DHA,Partners in Hope
DHA,Partners symptomatic
DHA,Partners treated
DHA,Patient count error (supervision form)
DHA,Patients enrolled first time
DHA,Patients re-enrolled
DHA,Patients transferred in
DHA,Pay
DHA,PCR infants
DHA,Penicillin G
DHA,Penis model available
DHA,Percent
DHA,Performance criteria
DHA,Phalombe
DHA,Pharmacist
DHA,Pharmacy Assistant
DHA,Pharmacy staff
DHA,Pharmacy Technician
DHA,pieces
DHA,PIMA Bead Standard
DHA,PIMA CD4 Cartidge
DHA,PITC
DHA,PMTCT
DHA,PMTCT site ANC
DHA,PMTCT site definition
DHA,PMTCT site maternity baby
DHA,PMTCT site maternity mother
DHA,Podophylline
DHA,Police
DHA,"Policy, Standards, Guidelines"
DHA,"Polite attitude, constructive feedback"
DHA,Polythene sleeve
DHA,Positive DNA-PCR results
DHA,powder
DHA,Pre-ART follow-up outcome
DHA,Pre-ART outcomes cumulative
DHA,Pre-ART pat. card (green)
DHA,Pregnant
DHA,Prematurity
DHA,Pre-OP status
DHA,Presumed severe HIV Disease
DHA,Prev+ not on ART
DHA,Prev+ on ART
DHA,Prevent expiry of excess stock
DHA,Previous negative
DHA,Previous positive
DHA,Previously accessed HTC
DHA,Previously treated for STI
DHA,Primary follow-up outcomes
DHA,Prisons
DHA,Private
DHA,Program data sets
DHA,Proper storage
DHA,Provider initiated family planning program
DHA,Provider Initiated Testing Performance
DHA,PTB within the last  24 months or current
DHA,Public
DHA,Pyridoxine
DHA,QA for Counselling
DHA,QA for HIV testing
DHA,QC testing correctly documented
DHA,Quality check list
DHA,Quarter
DHA,Quarter / cumulative
DHA,Reason for HCC registration
DHA,Reason for relocation / disposal
DHA,Reason for starting ART
DHA,Receipt
DHA,Receipt in warehouse
DHA,Recent ≤3 months ago
DHA,Referral for re-testing based on risk assessment
DHA,Referred for services
DHA,Referred out
DHA,Referred out before delivery
DHA,Referred out before delivery (multiple admissions)
DHA,Refused
DHA,Reg Form for Relocation / Disposal HIV Commodities
DHA,Regimen 5A monthly ceilings
DHA,Regions
DHA,Registers correctly filled
DHA,Registration details
DHA,Registration type
DHA,Relocation between sites
DHA,Relocation forms filled for ARVs / tests
DHA,Repeat HTC
DHA,Report display elements
DHA,Report menu
DHA,Report period
DHA,Report period set
DHA,Reporting version set
DHA,Research
DHA,Results among clients never tested / last negative
DHA,RH
DHA,RHE
DHA,RHZ
DHA,RHZE
DHA,RNM Registered Nurse Midwife
DHA,root
DHA,Rumphi
DHA,Running water & soap available
DHA,Ruptured uterus
DHA,Rural
DHA,Rural / community hospital
DHA,Rural/Urban
DHA,Safety
DHA,Safety protocol on display
DHA,Salima
DHA,Sample collection kit venous blood
DHA,Scheduled distribution from warehouse
DHA,"Screened for at least HIV, HepB and syphilis"
DHA,Screened for HIV only
DHA,"Screened for HIV, HepB"
DHA,"Screened for HIV, HepB, HepC, Syphilis, Malaria"
DHA,"Screened for HIV, HepB, Syphilis"
DHA,Screened with any other combination of tests
DHA,SD Bioline HIV
DHA,sd NVP
DHA,Second line regimens
DHA,Sector
DHA,Semi-urban
DHA,Separate bin for contaminated waste
DHA,Sepsis
DHA,Session observation checklist available
DHA,Severe
DHA,Sex
DHA,Sharps container
DHA,Sharps container available
DHA,sheets
DHA,Side effects recorded
DHA,Side effects unknown (not recorded)
DHA,Single babies
DHA,Single babies / multiple deliveries
DHA,Single test negative
DHA,Single test positive
DHA,South East Zone
DHA,South West Zone
DHA,Southern Region
DHA,"Spacious, well ventilated"
DHA,Special / other site
DHA,"Special activity (training, campaign, etc.)"
DHA,Spontaneous vaginal
DHA,SRN State Registered Nurse
DHA,SS
DHA,SSDI / JHPIEGO
DHA,Staff conducting delivery
DHA,Staff Position
DHA,Staff qualification groups
DHA,Started ART
DHA,Started ART within 24m of TB diagnosis (ART prog)
DHA,Static
DHA,Static / outreach / mobile
DHA,STI
