Period,Region Name,District Name,Working Station,HRH Cadre,Position Title,Salary Grade,Establishment,Filled Positions,Variance
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Pharmacy,Pharmacy Technician,HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Allied Health Technical Services,Laboratory Assistant,HL,1,1,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Allied Health Professionals,Medical Assistant,HL,1,1,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Nursing Services,Senior Home Craft Worker,L,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Head Cook,P,1,0,1
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Administration,Senior Ward Clerk,L,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Pharmacy,Pharmacy Technician,HK,3,1,2
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Nursing Services,Home Craft Worker,M,3,3,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Pharmacy,Pharmacy Assistant,HM,1,1,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Planning & Policy Development,Statistical Clerk,M,1,1,0
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Nursing Services,Senior Nurse Technician,HJ,2,2,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Administration,Motor Vehicle Driver,N,1,1,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Attendants,Senior Head Hospital Attendant,HN,2,2,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Attendants,Head Hospital Attendant,HO,1,1,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Attendants,Hospital Attendant,HP,3,3,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Attendants,Head Hospital Attendant,HO,26,1,25
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Administration,Security Guard,P,3,3,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Administration,Ground Labourer,R,4,4,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Administration,Plumber,M,2,0,2
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Head Security Guard,O,5,0,5
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Allied Health Professionals,Senior Clinical Officer,HH,1,1,0
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Allied Health Professionals,Medical Technician (for Med Ass),HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Preventive Health Services,Health Education Officer,HI,1,0,1
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Health Services Administrator,I,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Preventive Health Services,Principal Environmental Health Officer,HG,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Nursing Services,Home Craft Worker,M,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Administration,Principal Health Service Administrator,G,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Administration,Assistant Health Services Administrator,K,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Attendants,Hospital Attendant,HP,81,0,81
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Preventive Health Services,Assistant Environmental Health Officer,HK,1,1,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Medical Officers,Principal Medical Officer,HG,1,0,1
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Human Resources,Human Resource Management Officer,I,1,0,1
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Preventive Health Services,Assistant Environmental Health Officer,HK,1,1,0
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Allied Health Technical Services,Dental Technician,HK,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Accounting,Assistant Accountant,K,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Preventive Health Services,Assistant Environmental Health Officer,HK,1,2,-1
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Administration,Catering Assistant,M,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Nursing Services,Chief Nurse Technician,HI,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Allied Health Professionals,Clinical Officer,HI,1,0,1
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Allied Health Professionals,Clinical Technician,HK,2,3,-1
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Administration,Ground Labourer,R,4,2,2
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Human Resources,Copy Typist,M,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Attendants,Incinerator Attendant,O,2,0,2
MoH - 2015,Central East Region,Salima District,Chipoka Rural Health Centre,Nursing Services,Senior Nurse Technician,HJ,2,2,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Allied Health Technical Services,Dental Technician,HK,1,1,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Nursing Services,Principal Nursing Officer,HG,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Attendants,Head Hospital Attendant,HO,6,5,1
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Attendants,Kitchen Attendant,P,6,1,5
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Attendants,Head Hospital Attendant,HO,1,2,-1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Administration,Procurement Officer,I,1,0,1
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Nursing Services,Home Craft Worker,M,3,0,3
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Allied Health Technical Services,Laboratory Assistant,HL,2,0,2
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Administration,Head Security Guard,O,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Planning & Policy Development,Programmer,K,1,1,0
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Pharmacy,Pharmacy Technician,HK,1,1,0
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Attendants,Hospital Attendant,HP,3,7,-4
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Allied Health Technical Services,Laboratory Officer,HI,1,0,1
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Administration,PBX Operator,O,2,1,1
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Pharmacy,Pharmacy Assistant,HM,2,2,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Pharmacy,Pharmacy Technician,HK,1,0,1
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Allied Health Technical Services,Radiography Technician,HK,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Administration,Security Guard,P,8,11,-3
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Administration,Senior Stores Clerk,L,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Allied Health Technical Services,Senior Radiography Technician,HJ,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Allied Health Technical Services,Laboratory Technician,HK,4,0,4
MoH - 2015,Central East Region,Salima District,Chipoka Rural Health Centre,Nursing Services,Nurse Technician,HK,14,15,-1
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Allied Health Technical Services,Laboratory Assistant,HL,1,0,1
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Nursing Services,Senior Nurse Technician,HJ,2,2,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Pharmacy,Senior Pharmacy Technician,HJ,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Allied Health Technical Services,Senior Laboratory Technician,HJ,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Nursing Services,Senior Home Craft Worker,L,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Attendants,Senior Head Hospital Attendant,HN,5,4,1
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Allied Health Professionals,Senior Dental Technician,HJ,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Accounting,Senior Accounts Assistant,L,1,0,1
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Allied Health Professionals,Senior Clinical Technician,HJ,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Allied Health Professionals,Senior Clinical Officer,HH,1,0,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Nursing Services,Deputy Director of Nursing Services,HE,1,1,0
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Allied Health Technical Services,Dental Technician,HK,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Human Resources,Senior Clerical Officer,L,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Administration,Senior Catering Assistant,L,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Laundry Assistant,M,1,0,1
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Allied Health Technical Services,Laboratory Technician,HK,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Allied Health Technical Services,Radiography Technician,HK,3,0,3
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Laundry Supervisor,K,1,0,1
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Allied Health Professionals,Medical Assistant,HL,1,1,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Allied Health Technical Services,Rehabilitation Assistant,HM,1,0,1
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Allied Health Professionals,Medical Assistant,HL,16,0,16
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Allied Health Technical Services,Medical Engineering Technician,K,1,0,1
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Allied Health Technical Services,Laboratory Technician,HK,1,1,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Allied Health Technical Services,Rehabilitation Officer,HI,1,0,1
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Allied Health Professionals,Medical Technician (for Med Ass),HK,8,0,8
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Allied Health Professionals,Medical Technician (for Med Ass),HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Messenger,P,2,0,2
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Administration,Security Guard,P,12,9,3
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Administration,Motor Vehicle Driver,N,1,0,1
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Mortuary Assistant,M,2,0,2
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Nursing Services,Nurse Technician,HK,14,13,1
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Mortuary Attendant,O,2,0,2
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Accounting,Senior Accountant,H,1,0,1
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Nursing Services,Nurse Technician,HK,14,14,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Motor Vehicle Driver,N,11,0,11
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Accounting,Senior Assistant Accountant,J,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Nursing Services,Nurse Auxiliary,HM,14,0,14
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Nursing Services,Nurse Technician,HK,92,0,92
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Accounting,Senior Accounts Assistant,L,2,1,1
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Nursing Services,Nursing Officer,HI,17,0,17
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Nursing Services,Senior Assistant Community Health Officer,HJ,2,1,1
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Allied Health Professionals,Senior Clinical Officer,HH,1,1,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Allied Health Professionals,Senior Clinical Technician,HJ,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Allied Health Professionals,Nutrition Officer,I,1,0,1
MoH - 2015,Central East Region,Salima District,Chipoka Rural Health Centre,Attendants,Head Hospital Attendant,HO,1,2,-1
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Nursing Services,Senior Nurse Technician,HJ,2,2,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Preventive Health Services,Assistant Environmental Health Officer,HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Allied Health Technical Services,Dental Technician,HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Allied Health Technical Services,Laboratory Technician,HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Allied Health Professionals,Medical Technician (for Med Ass),HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Nursing Services,Nurse Technician,HK,14,14,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Pharmacy,Pharmacy Technician,HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Allied Health Technical Services,Laboratory Assistant,HL,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Allied Health Professionals,Optometrist,I,1,0,1
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Allied Health Professionals,Medical Assistant,HL,1,1,0
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Allied Health Professionals,Medical Assistant,HL,1,1,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Nursing Services,Senior Home Craft Worker,L,1,1,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Administration,Senior Ward Clerk,L,1,1,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Nursing Services,Home Craft Worker,M,3,3,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Pharmacy,Pharmacy Assistant,HM,1,1,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Preventive Health Services,Senior Assistant Disiease Control Officer,HJ,2,0,2
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Planning & Policy Development,Statistical Clerk,M,1,1,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Administration,Motor Vehicle Driver,N,1,1,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Attendants,Senior Head Hospital Attendant,HN,2,2,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Attendants,Head Hospital Attendant,HO,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,PBX Operator,O,3,0,3
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Nursing Services,Senior Home Craft Worker,L,1,1,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Attendants,Hospital Attendant,HP,3,3,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Administration,Security Guard,P,3,3,0
MoH - 2015,Central West Region,Dedza District,Kalulu Rural Health Centre,Administration,Ground Labourer,R,4,4,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Preventive Health Services,Senior Assistant Environmental Health Officer,HJ,3,0,3
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Painter,M,2,0,2
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Pharmacy,Pharmacist,HI,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Preventive Health Services,Senior Assistant Health Education Officer,HJ,1,0,1
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Pharmacy,Pharmacy Assistant,HM,2,0,2
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Pharmacy,Pharmacy Technician,HK,3,1,2
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Human Resources,Senior Assistant Human Resource Management Officer,J,1,1,0
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Allied Health Technical Services,Laboratory Assistant,HL,1,1,0
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Pharmacy,Pharmacy Assistant,HM,1,1,0
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Pharmacy,Pharmacy Technician,HK,1,1,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Allied Health Technical Services,Senior Laboratory Technician,HJ,1,0,1
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Plumber,M,2,0,2
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Administration,Security Guard,P,3,4,-1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Allied Health Technical Services,Senior Assistant Rehabilitation Officer,HJ,1,0,1
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Allied Health Professionals,Senior Clinical Officer,HH,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Preventive Health Services,Principal Environmental Health Officer,HG,1,0,1
MoH - 2015,South West Region,Nsanje District,Makhanga Rural Health Centre,Attendants,Senior Head Hospital Attendant,HN,2,1,1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Human Resources,Senior Clerical Officer,L,1,1,0
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Administration,Senior Ward Clerk,L,1,1,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Allied Health Professionals,Senior Clinical Officer,HH,4,0,4
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Allied Health Professionals,Senior Clinical Technician,HJ,13,0,13
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Nursing Services,Senior Community Health Officer,HH,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Preventive Health Services,Senior Disease Control and Surveillance Assistant,HL,50,43,7
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Attendants,Senior Head Hospital Attendant,HN,15,1,14
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Principal Health Service Administrator,G,1,0,1
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Medical Officers,Principal Medical Officer,HG,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Administration,Ward Clerk,M,10,2,8
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Nursing Services,Principal Nursing Officer,HG,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Administration,Senior Head Messenger,N,1,0,1
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Nursing Services,Home Craft Worker,M,3,3,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Procurement Officer,I,1,0,1
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Planning & Policy Development,Programmer,K,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Administration,Senior Head Laundry Attendant,N,2,0,2
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Allied Health Technical Services,Radiographer,HI,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Administration,Senior Head Security Guard,N,3,1,2
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Administration,Ground Labourer,R,4,4,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Allied Health Technical Services,Radiography Technician,HK,3,0,3
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Allied Health Professionals,Senior Clinical Officer,HH,1,1,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Allied Health Professionals,Senior Clinical Technician,HJ,1,1,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Nursing Services,Senior Nurse Technician,HJ,2,2,0
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Pharmacy,Pharmacy Assistant,HM,1,1,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Preventive Health Services,Assistant Environmental Health Officer,HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Allied Health Technical Services,Dental Technician,HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Allied Health Technical Services,Rehabilitation Assistant,HM,1,0,1
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Allied Health Technical Services,Laboratory Technician,HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Allied Health Professionals,Medical Technician (for Med Ass),HK,1,1,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Preventive Health Services,Senior Health Education Officer,HI,1,0,1
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Nursing Services,Nurse Technician,HK,14,14,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Pharmacy,Pharmacy Technician,HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Allied Health Technical Services,Laboratory Assistant,HL,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Allied Health Technical Services,Rehabilitation Officer,HI,1,0,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Medical Specialist,Director of Clinical Services,HD,1,1,0
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Planning & Policy Development,Statistical Clerk,M,1,1,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Allied Health Professionals,Medical Assistant,HL,1,1,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Nursing Services,Senior Home Craft Worker,L,1,1,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Administration,Senior Ward Clerk,L,1,1,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Nursing Services,Senior Home Craft Worker,L,1,0,1
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Nursing Services,Home Craft Worker,M,3,3,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Pharmacy,Pharmacy Assistant,HM,1,1,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Planning & Policy Development,Statistical Clerk,M,1,1,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Administration,Motor Vehicle Driver,N,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Security Guard,P,12,0,12
MoH - 2015,Central West Region,Mchinji District,Kaigwazanga Rural Health Centre,Attendants,Senior Head Hospital Attendant,HN,2,2,0
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Attendants,Senior Head Hospital Attendant,HN,2,2,0
MoH - 2015,Central West Region,Dedza District,Kanyezi Rural Health Centre,Attendants,Head Hospital Attendant,HO,1,1,0
