Program,Table,Element,Abbreviation,Topic,HIV_Flag,REPORT_Flag,TB_Flag,ART_Flag,Maternity_Flag,Date_Flag
BHT_EMR,BART,Month ART started,Month,ART,Y,Y,N,Y,N,N
BHT_EMR,BART,Month of Birth,Month,,N,Y,N,N,Y,N
BHT_EMR,BART,Month of CD4 Count,Month,,N,Y,N,N,N,N
BHT_EMR,BART,Moth ART last taken,Moth,ART,Y,N,N,Y,N,N
BHT_EMR,BART,Need for follow up for HIV care,Need,HIV,Y,N,N,N,N,N
BHT_EMR,BART,Need for HIV care follow up,Need,HIV,Y,N,N,N,N,N
BHT_EMR,BART,Need to prescribe ARVs,Need,,N,N,N,N,N,N
BHT_EMR,BART,Need to Prescribe drugs,Need,,N,N,N,N,N,N
BHT_EMR,BART,Next visit date,Next,,N,N,N,N,N,Y
BHT_EMR,BART,Number of condoms given,Number,,N,Y,N,N,N,N
BHT_EMR,BART,Occupation,Occupation,,N,N,N,N,N,N
BHT_EMR,BART,Patient Breast feedin,Patient,,N,N,N,N,N,N
BHT_EMR,BART,Patient Pregnant,Patient,,N,N,N,N,Y,N
BHT_EMR,BART,Previous ART clinic Registration,Previous,ART,Y,N,N,Y,N,N
BHT_EMR,BART,Previous ART Treatment or not,Previous,ART,Y,N,N,Y,N,N
BHT_EMR,BART,PRN,PRN,,N,N,N,N,N,N
BHT_EMR,BART,Quantity,Quantity,,N,N,N,N,N,N
BHT_EMR,BART,Reason for ART Eligibility,Reason,ART,Y,N,N,Y,N,N
BHT_EMR,BART,Recent CD4 Count results,Recent,,N,N,N,N,N,N
BHT_EMR,BART,Referal to clinician,Referal,,N,N,N,N,N,N
BHT_EMR,BART,Region of Origin,Region,,N,N,N,N,N,N
BHT_EMR,BART,Stage information,Stage,,N,N,N,N,N,N
BHT_EMR,BART,Stages 1-2-3-4,Stages,,N,N,N,N,N,N
BHT_EMR,BART,Sulphur Alergy,Sulphur,,N,N,N,N,N,N
BHT_EMR,BART,TA/Area of residence,TA/Area,,N,N,N,N,N,N
BHT_EMR,BART,TB Associated Symptoms,TB,,N,N,Y,N,N,N
BHT_EMR,BART,TB status,TB,,N,N,Y,N,N,N
BHT_EMR,BART,Type of Confirmatory HIV test,Type,HIV,Y,N,N,N,N,N
BHT_EMR,BART,Type of prescription Standard or variable,Type,,N,N,N,N,N,N
BHT_EMR,BART,Type of relationship with patient,Type,,N,N,N,N,N,N
BHT_EMR,BART,Usage of family planning methods,Usage,,N,N,N,N,N,N
BHT_EMR,BART,Weight,Weight,,N,N,N,N,N,N
BHT_EMR,BART,Year ART last taken,Year,ART,Y,N,N,Y,N,N
BHT_EMR,BART,Year ART started,Year,ART,Y,N,N,Y,N,N
BHT_EMR,BART,Year of Birth/age estimate,Year,,N,N,N,N,Y,N
BHT_EMR,BART,Year of CD4 count,Year,,N,N,N,N,N,N
BHT_EMR,eBRS,NULL,NULL,,N,N,N,N,N,N
BHT_EMR,eBRS,Are the parents married to Each other,Are,,N,N,N,N,N,N
BHT_EMR,eBRS,BIRTH WEIGHT,BIRTH,,N,N,N,N,Y,N
BHT_EMR,eBRS,Completed Level of eduction,Completed,,N,N,N,N,N,N
BHT_EMR,eBRS,Country of Residence,Country,,N,N,N,N,N,N
BHT_EMR,eBRS,DATE OF BIRTH,DATE,,N,N,N,N,Y,Y
BHT_EMR,eBRS,Date of reporting,Date,,N,N,N,N,N,Y
BHT_EMR,eBRS,District,District,,N,N,N,N,N,N
BHT_EMR,eBRS,Father is informant,Father,,N,N,N,N,N,N
BHT_EMR,eBRS,FIRST NAME,FIRST,,N,N,N,N,N,N
BHT_EMR,eBRS,Gestation age at birth in weeks,Gestation,,N,N,N,N,Y,N
BHT_EMR,eBRS,Has the form been signed by the informant,Has,,N,N,N,N,N,N
BHT_EMR,eBRS,Home address same as the physical address,Home,,N,N,N,N,N,N
BHT_EMR,eBRS,ID Number,ID,,N,Y,N,N,N,N
BHT_EMR,eBRS,"If yes, date of marriage",If,,N,N,N,N,N,Y
BHT_EMR,eBRS,Maiden Surname,Maiden,,N,N,N,N,N,N
BHT_EMR,eBRS,Mode of delivery,Mode,,N,N,N,N,Y,N
BHT_EMR,eBRS,Month of pregnancy prenatal care started,Month,,N,Y,N,N,Y,N
BHT_EMR,eBRS,Mother is informant,Mother,,N,N,N,N,N,N
BHT_EMR,eBRS,Nationality,Nationality,,N,N,N,N,N,N
BHT_EMR,eBRS,"Number of children born to the mother, and still living",Number,,N,Y,N,N,N,N
BHT_EMR,eBRS,"Number of children born to the mother, including this child",Number,,N,Y,N,N,N,N
BHT_EMR,eBRS,Number of prenatal visits,Number,,N,Y,N,N,N,N
BHT_EMR,eBRS,OTHER,OTHER,OPD,N,N,N,N,N,N
BHT_EMR,eBRS,Other name,Other,OPD,N,N,N,N,N,N
BHT_EMR,eBRS,Phone number,Phone,,N,Y,N,N,N,N
BHT_EMR,eBRS,Postal Address,Postal,,N,N,N,N,N,N
BHT_EMR,eBRS,Relationship to child,Relationship,,N,N,N,N,N,N
BHT_EMR,eBRS,Replace Child Surname with Mother Maiden Surname,Replace,,N,N,N,N,N,N
BHT_EMR,eBRS,Same as mother's,Same,,N,N,N,N,N,N
BHT_EMR,eBRS,SEX,SEX,,N,N,N,N,N,N
BHT_EMR,eBRS,Specify Other type of Birth,Specify,,N,N,N,N,Y,N
BHT_EMR,eBRS,SURNAME,SURNAME,,N,N,N,N,N,N
BHT_EMR,eBRS,T/A or Area of Residence,T/A,,N,N,N,N,N,N
BHT_EMR,eBRS,Type of birth,Type,,N,N,N,N,Y,N
BHT_EMR,eBRS,VILLAGE/TOWN,VILLAGE/TOWN,,N,N,N,N,N,N
BHT_EMR,eDRS,Addressline,Addressline,,N,N,N,N,N,N
BHT_EMR,eDRS,Approved,Approved,,N,N,N,N,N,N
BHT_EMR,eDRS,Birth Certificate Number,Birth,,N,Y,N,N,Y,N
BHT_EMR,eDRS,Birth Date,Birth,,N,N,N,N,Y,Y
BHT_EMR,eDRS,Cause Of Death,Cause,,N,N,N,N,N,N
BHT_EMR,eDRS,Church Verification Date,Church,,N,N,N,N,N,Y
BHT_EMR,eDRS,Church Verified,Church,,N,N,N,N,N,N
BHT_EMR,eDRS,Citizenship,Citizenship,,N,N,N,N,N,N
BHT_EMR,eDRS,City,City,,N,N,N,N,N,N
BHT_EMR,eDRS,Current District,Current,,N,N,N,N,N,N
BHT_EMR,eDRS,Current Ta,Current,,N,N,N,N,N,N
BHT_EMR,eDRS,Current Village,Current,,N,N,N,N,N,N
BHT_EMR,eDRS,Date Of Death,Date,,N,N,N,N,N,Y
BHT_EMR,eDRS,Death By Pregnancy,Death,,N,N,N,N,Y,N
BHT_EMR,eDRS,Death Entry Number,Death,,N,Y,N,N,N,N
BHT_EMR,eDRS,Death Registration Number,Death,,N,Y,N,N,N,N
BHT_EMR,eDRS,First Name,First,,N,N,N,N,N,N
BHT_EMR,eDRS,Foreigner Current District,Foreigner,,N,N,N,N,N,N
BHT_EMR,eDRS,Foreigner Current Ta,Foreigner,,N,N,N,N,N,N
BHT_EMR,eDRS,Foreigner Current Village,Foreigner,,N,N,N,N,N,N
BHT_EMR,eDRS,Foreigner Home District,Foreigner,,N,N,N,N,N,N
BHT_EMR,eDRS,Foreigner Home Ta,Foreigner,,N,N,N,N,N,N
BHT_EMR,eDRS,Foreigner Home Village,Foreigner,,N,N,N,N,N,N
BHT_EMR,eDRS,Form Signed,Form,,N,N,N,N,N,N
BHT_EMR,eDRS,Gender,Gender,,N,N,N,N,N,N
BHT_EMR,eDRS,Headman Verification Date,Headman,,N,N,N,N,N,Y
BHT_EMR,eDRS,Headman Verified,Headman,,N,N,N,N,N,N
BHT_EMR,eDRS,Home Country,Home,,N,N,N,N,N,N
BHT_EMR,eDRS,Home District,Home,,N,N,N,N,N,N
BHT_EMR,eDRS,Home Ta,Home,,N,N,N,N,N,N
BHT_EMR,eDRS,Home Village,Home,,N,N,N,N,N,N
BHT_EMR,eDRS,Id Number,Id,,N,Y,N,N,N,N
BHT_EMR,eDRS,In Number,In,,N,Y,N,N,N,N
BHT_EMR,eDRS,Last Name,Last,,N,N,N,N,N,N
BHT_EMR,eDRS,Middle Name,Middle,,N,N,N,N,N,N
BHT_EMR,eDRS,Occupation,Occupation,,N,N,N,N,N,N
BHT_EMR,eDRS,Phone Number,Phone,,N,Y,N,N,N,N
BHT_EMR,eDRS,Place Of Death,Place,,N,N,N,N,N,N
BHT_EMR,eDRS,Relationship To Deceased,Relationship,,N,N,N,N,N,N
BHT_EMR,eDRS,Residential Country,Residential,,N,N,N,N,N,N
BHT_EMR,eDRS,Signature Date,Signature,,N,N,N,N,N,Y
BHT_EMR,eDRS,Signed,Signed,,N,N,N,N,N,N
BHT_EMR,eDRS,Status,Status,,N,N,N,N,N,N
BHT_EMR,HTC,(est 2) UniGold Lot Number,(est,,N,Y,N,N,N,N
BHT_EMR,HTC,(test 1) determine lot number,(test,,N,Y,N,N,N,N
BHT_EMR,HTC,(test 2) UniGold lot number,(test,,N,Y,N,N,N,N
BHT_EMR,HTC,acknowledging counselor accession number,acknowledging,,N,Y,N,N,N,N
BHT_EMR,HTC,appointment,appointment,,N,N,N,N,N,N
BHT_EMR,HTC,Birth Day,Birth,,N,N,N,N,Y,N
BHT_EMR,HTC,Cell Phone,Cell,,N,N,N,N,N,N
BHT_EMR,HTC,client ready for testing,client,,N,N,N,N,N,N
BHT_EMR,HTC,Current District,Current,,N,N,N,N,N,N
BHT_EMR,HTC,Current Region,Current,,N,N,N,N,N,N
BHT_EMR,HTC,First Name,First,,N,N,N,N,N,N
BHT_EMR,HTC,Gender,Gender,,N,N,N,N,N,N
BHT_EMR,HTC,Home District,Home,,N,N,N,N,N,N
BHT_EMR,HTC,Home Village,Home,,N,N,N,N,N,N
BHT_EMR,HTC,HTC access type,HTC,HTC,N,Y,N,N,N,N
BHT_EMR,HTC,HTC test 1 result,HTC,HTC,N,Y,N,N,N,N
BHT_EMR,HTC,HTC test 2 result,HTC,HTC,N,Y,N,N,N,N
BHT_EMR,HTC,Last HIV test result,Last,HIV,Y,N,N,N,N,N
BHT_EMR,HTC,Last Name,Last,,N,N,N,N,N,N
BHT_EMR,HTC,last test date,last,,N,N,N,N,N,Y
BHT_EMR,HTC,Location/Village,Location/Village,,N,N,N,N,N,N
BHT_EMR,HTC,Month of Birth,Month,,N,Y,N,N,Y,N
BHT_EMR,HTC,Occupation,Occupation,,N,N,N,N,N,N
BHT_EMR,HTC,partner available,partner,,N,N,N,N,N,N
BHT_EMR,HTC,refer to ART clinic,refer,ART,Y,N,N,Y,N,N
BHT_EMR,HTC,Region of Origin,Region,,N,N,N,N,N,N
BHT_EMR,HTC,risk assessment,risk,,N,N,N,N,N,N
BHT_EMR,HTC,Test 1 result,Test,,N,N,N,N,N,N
BHT_EMR,HTC,Test 2 result,Test,,N,N,N,N,N,N
BHT_EMR,HTC,Traditional Authority (T/A),Traditional,,N,N,N,N,N,N
BHT_EMR,HTC,update HIV status,update,HIV,Y,N,N,N,N,N
BHT_EMR,HTC,Year of Birth/age estimate,Year,,N,N,N,N,Y,N
BHT_EMR,MATERNITY,Abdomen,Abdomen,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Admission Date,Admission,,N,N,N,N,N,Y
BHT_EMR,MATERNITY,Admission Time,Admission,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Anaemic,Anaemic,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Apgar scoring,Apgar,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Area of Residence,Area,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Baby Abdomen,Baby,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Baby abnormalities,Baby,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Baby Cord,Baby,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Baby delivery mode,Baby,,N,N,N,N,Y,N
BHT_EMR,MATERNITY,Baby Delivery Outcome,Baby,,N,N,N,N,Y,N
BHT_EMR,MATERNITY,Baby Length,Baby,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Baby Place of delivery,Baby,,N,N,N,N,Y,N
BHT_EMR,MATERNITY,Baby Presentation,Baby,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Baby Sex,Baby,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Baby status,Baby,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Baby temperature,Baby,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Baby Weight,Baby,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Birth Attended by,Birth,,N,N,N,N,Y,N
BHT_EMR,MATERNITY,Blood loss,Blood,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Blood Pressure,Blood,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Breast,Breast,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Caput,Caput,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Cellphone,Cellphone,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Cevical Dilation,Cevical,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Chest,Chest,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Condition,Condition,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Condition at Admissin,Condition,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Contractions,Contractions,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Cord clean,Cord,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Date of Delivery,Date,,N,N,N,N,Y,Y
BHT_EMR,MATERNITY,Decent,Decent,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Delivery Modes,Delivery,MATERNAL,N,N,N,N,Y,N
BHT_EMR,MATERNITY,Diagnosis,Diagnosis,,N,N,N,N,N,N
BHT_EMR,MATERNITY,DoB,DoB,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Education level,Education,,N,N,N,N,N,N
BHT_EMR,MATERNITY,FHR,FHR,,N,N,N,N,N,N
BHT_EMR,MATERNITY,First Name,First,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Frequency,Frequency,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Fundus,Fundus,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Genetelia Inspection,Genetelia,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Gravida,Gravida,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Head,Head,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Heart Beat,Heart,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Home Add,Home,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Home Village,Home,,N,N,N,N,N,N
BHT_EMR,MATERNITY,HR,HR,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Impression,Impression,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Intensity,Intensity,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Landamark,Landamark,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Last Name,Last,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Lie,Lie,,N,N,N,N,N,N
BHT_EMR,MATERNITY,LMP,LMP,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Location,Location,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Maiden Name,Maiden,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Membranes,Membranes,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Middle Name,Middle,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Moulding,Moulding,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Multiple Preg,Multiple,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Nationality,Nationality,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Next of Kin,Next,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Next of Kin phone,Next,,N,N,N,N,N,N
BHT_EMR,MATERNITY,No. of Babies,No.,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Number of Abortions,Number,,N,Y,N,N,N,N
BHT_EMR,MATERNITY,Number of Deliveries,Number,,N,Y,N,N,N,N
BHT_EMR,MATERNITY,Observation,Observation,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Occupation,Occupation,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Oedema,Oedema,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Outcome,Outcome,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Perinium,Perinium,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Place of Delivery,Place,,N,N,N,N,Y,N
BHT_EMR,MATERNITY,Plan,Plan,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Position type,Position,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Presentation,Presentation,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Presenting Part,Presenting,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Procedure done,Procedure,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Pulse,Pulse,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Referral?,Referral?,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Relation Type,Relation,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Religion,Religion,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Resp Rate,Resp,,N,N,N,N,N,N
BHT_EMR,MATERNITY,RR,RR,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Spleen,Spleen,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Station,Station,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Status,Status,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Status of Placenta,Status,,N,N,N,N,N,N
BHT_EMR,MATERNITY,T/A,T/A,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Tear,Tear,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Temperature,Temperature,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Test Date,Test,,N,N,N,N,N,Y
BHT_EMR,MATERNITY,Third Stage,Third,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Time of Delivery,Time,,N,N,N,N,Y,N
BHT_EMR,MATERNITY,Ttv status,Ttv,,N,N,N,N,N,N
BHT_EMR,MATERNITY,Uterus,Uterus,,N,N,N,N,N,N
BHT_EMR,OPD,Ancestral Traditional Authority (Area of residence),Ancestral,ANC,N,N,N,N,N,N
BHT_EMR,OPD,AVPU,AVPU,,N,N,N,N,N,N
BHT_EMR,OPD,Blood oxygen Saturation,Blood,,N,N,N,N,N,N
BHT_EMR,OPD,Cell Phone,Cell,,N,N,N,N,N,N
BHT_EMR,OPD,Closest Landmark,Closest,,N,N,N,N,N,N
BHT_EMR,OPD,Current District,Current,,N,N,N,N,N,N
BHT_EMR,OPD,Current Region,Current,,N,N,N,N,N,N
BHT_EMR,OPD,Date of Birth,Date,,N,N,N,N,Y,Y
BHT_EMR,OPD,Dose Strength,Dose,,N,N,N,N,N,N
BHT_EMR,OPD,Drug,Drug,,N,N,N,N,N,N
BHT_EMR,OPD,Duration,Duration,,N,N,N,N,N,N
BHT_EMR,OPD,First Name,First,,N,N,N,N,N,N
BHT_EMR,OPD,Formulation,Formulation,,N,N,N,N,N,N
BHT_EMR,OPD,Frequency,Frequency,,N,N,N,N,N,N
BHT_EMR,OPD,Gender,Gender,,N,N,N,N,N,N
BHT_EMR,OPD,Ground Phone Number,Ground,,N,Y,N,N,N,N
BHT_EMR,OPD,Height,Height,,N,N,N,N,N,N
BHT_EMR,OPD,Highest Education level of parent/Guardian,Highest,,N,N,N,N,N,N
BHT_EMR,OPD,Home District,Home,,N,N,N,N,N,N
BHT_EMR,OPD,Home Village,Home,,N,N,N,N,N,N
BHT_EMR,OPD,Last Name,Last,,N,N,N,N,N,N
BHT_EMR,OPD,Life threatening condition,Life,,N,N,N,N,N,N
BHT_EMR,OPD,Location/Village,Location/Village,,N,N,N,N,N,N
BHT_EMR,OPD,Marital status,Marital,,N,N,N,N,N,N
BHT_EMR,OPD,Middle name,Middle,,N,N,N,N,N,N
BHT_EMR,OPD,Month of Birth,Month,,N,Y,N,N,Y,N
BHT_EMR,OPD,Number of people sharing bedroom,Number,,N,Y,N,N,N,N
BHT_EMR,OPD,Occupation,Occupation,,N,N,N,N,N,N
BHT_EMR,OPD,Patient smoke,Patient,,N,N,N,N,N,N
BHT_EMR,OPD,Primary Diagnosis,Primary,,N,N,N,N,N,N
BHT_EMR,OPD,PRN,PRN,,N,N,N,N,N,N
BHT_EMR,OPD,Pulse rate,Pulse,,N,N,N,N,N,N
BHT_EMR,OPD,Referal or not,Referal,,N,N,N,N,N,N
BHT_EMR,OPD,Region of Origin,Region,,N,N,N,N,N,N
BHT_EMR,OPD,Religion,Religion,,N,N,N,N,N,N
BHT_EMR,OPD,Rereral facility,Rereral,,N,N,N,N,N,N
BHT_EMR,OPD,Respiratory rate,Respiratory,,N,N,N,N,N,N
BHT_EMR,OPD,Secondary diagnosis,Secondary,,N,N,N,N,N,N
BHT_EMR,OPD,Select complaints,Select,,N,N,N,N,N,N
BHT_EMR,OPD,Select lab orders,Select,,N,N,N,N,N,N
BHT_EMR,OPD,Source of Drinking water,Source,,N,N,N,N,N,N
BHT_EMR,OPD,Specifi complaints presentation (Optional),Specifi,,N,N,N,N,N,N
