ID NUMBER,DH/DM,GOAL,ELEMENT,DECISION,SOURCE,2.02.e How often,ELEMENT DESCRIPTION,DECISION DESCRIPTION,SOURCE DESCRIPTION,Level
2102A,DM,2A,PREVALENCE,LINK,PARTNER NGO,QUARTERLY,Prevalence Rate HIV,Link Partners And Programs,Non-governmental Organization,District
2102A,DM,2A,PREVALENCE FSW,LINK,RPT SECTOR,QUARTERLY,HIV prevalence rate among female sex workers,Link Partners And Programs,Sector Report,District
2102A,DM,2A,PREVALENCE FSW,LINK,PARTNER NGO,QUARTERLY,HIV prevalence rate among female sex workers,Link Partners And Programs,Non-governmental Organization,District
2102A,DM,2A,PREVALENCE,PROGTARGET,RPT SECTOR,QUARTERLY,Prevalence Rate HIV,Program Targeting,Sector Report,District
2102A,DM,2A,PREVALENCE,PROGTARGET,PARTNER NGO,QUARTERLY,Prevalence Rate HIV,Program Targeting,Non-governmental Organization,District
2102A,DM,2A,PREVALENCE FSW,PROGTARGET,RPT SECTOR,QUARTERLY,HIV prevalence rate among female sex workers,Program Targeting,Sector Report,District
2102A,DM,2A,PREVALENCE FSW,PROGTARGET,PARTNER NGO,QUARTERLY,HIV prevalence rate among female sex workers,Program Targeting,Non-governmental Organization,District
2102A,DM,3A,MEETING AWARE,UPTAKE,RPT,MONTHLY,Awareness Meetings Conducted,Increase Uptake/Demand Creation,Report,District
2102A,DM,3A,IEC,UPTAKE,RPT,MONTHLY,IEC Materials Distributed,Increase Uptake/Demand Creation,Report,District
2102A,DM,3A,CONDOM,UPTAKE,RPT,MONTHLY,Condoms Distributed,Increase Uptake/Demand Creation,Report,District
2102A,DM,3A,WORKPLACE,UPTAKE,RPT,MONTHLY,Workplace Interventions Conducted,Increase Uptake/Demand Creation,Report,District
2102A,DM,3A,EXPENDITURE,UPTAKE,RPT,MONTHLY,Funds Used,Increase Uptake/Demand Creation,Report,District
2102A,DM,3A,ATTENDYOUTH,UPTAKE,RPT,MONTHLY,Youth Attending Youth Friendly Service In Health Facility,Increase Uptake/Demand Creation,Report,District
2102A,DM,3A,REFER,UPTAKE,RPT,MONTHLY,Referral,Increase Uptake/Demand Creation,Report,District
2102A,DM,3A,TEST HIV,UPTAKE,RPT,MONTHLY,Test HIV,Increase Uptake/Demand Creation,Report,District
2102A,DM,3A,TEST HIVPOS,UPTAKE,RPT,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Report,District
2102A,DM,3A,TEST HIVNEG,UPTAKE,RPT,MONTHLY,Test HIV Negative,Increase Uptake/Demand Creation,Report,District
2102A,DM,3A,HBC VISIT,HBC,FORM,MONTHLY,Home Based Care Visit,Home Based Care,Form,District
2102A,DM,3A,HBC VISIT,HBC,FORM,MONTHLY,Home Based Care Visit,Home Based Care,Form,District
2102A,DM,3A,HBC SUPPORT,HBC,FORM,MONTHLY,Home Based Care Support,Home Based Care,Form,District
2102A,DM,3A,HBC SUPPORT,HBC,FORM,MONTHLY,Home Based Care Support,Home Based Care,Form,District
2102A,DM,4A,TREAT ART,LINK DIACC,OFF DHO,MONTHLY,Treatment ART,Link To District Interfaith Aids Coordinating Committee For Treatment Adherence,District Health Office,District
2102A,DM,4A,TREAT ART,LINK DIACC,PER COOR ART,MONTHLY,Treatment ART,Link To District Interfaith Aids Coordinating Committee For Treatment Adherence,ART Coordinator,District
2102A,DM,4A,TREAT ART,LINK DIACC,FORM,MONTHLY,Treatment ART,Link To District Interfaith Aids Coordinating Committee For Treatment Adherence,Form,District
2102A,DM,4A,DEFAULT,LINK DIACC,OFF DHO,MONTHLY,Defaulters,Link To District Interfaith Aids Coordinating Committee For Treatment Adherence,District Health Office,District
2102A,DM,4A,DEFAULT,LINK DIACC,PER COOR ART,MONTHLY,Defaulters,Link To District Interfaith Aids Coordinating Committee For Treatment Adherence,ART Coordinator,District
2102A,DM,4A,DEFAULT,LINK DIACC,FORM,MONTHLY,Defaulters,Link To District Interfaith Aids Coordinating Committee For Treatment Adherence,Form,District
2102A,DM,5A,MI,SENS,MI,MI,Missing Information,Sensitization,Missing Information,District
2102A,DM,5A,MI,UPTAKE,MI,MI,Missing Information,Increase Uptake/Demand Creation,Missing Information,District
2102A,DM,5A,SENS TARPOP,SENS,FORM,MONTHLY,Sensitized By Target Population,Sensitization,Form,District
2102A,DM,6A,MEETING PMTCT,MI,FORM,MONTHLY,Number of meetings on PMTCT conducted,Missing Information,Form,District
2102A,DM,6A,MEETING PMTCT TARPOP,MI,FORM,MONTHLY,Number of meetings on PMTCT conducted with the target population,Missing Information,Form,District
2102A,DM,6A,SENS PMTCT,MI,FORM,MONTHLY,Sensitization on PMTCT,Missing Information,Form,District
2102A,DM,6A,TREAT B+,MI,FORM,MONTHLY,Treat B+,Missing Information,Form,District
2102A,DM,6A,HIVEXPO CHILD HIVPOS,MI,FORM,MONTHLY,Exposed Children HIV Positive,Missing Information,Form,District
2102A,DM,6A,MEETING AWARE PMTCT,MI,FORM,MONTHLY,Awareness Meetings Conducted on PMTCT,Missing Information,Form,District
2102A,DM,6A,TEST HIVPOS MOTHER,MI,OFF DHO,MONTHLY,Mothers Tested HIV Positive,Missing Information,District Health Office,District
2102A,DM,6A,TEST HIVPOS MOTHER,MI,PER COOR ART,MONTHLY,Mothers Tested HIV Positive,Missing Information,ART Coordinator,District
